word,bo,sk,sva,pl,la,ar,tg,ml,krl,fa,hi,en,za,is,uk,ps,sa,id,ta,tcy,ca,da,vi,af,yea,ms,ko,kru,lt,ja,ug,gv,gon,nn,de,nl,lb,az,te,ku,ro,pt,gdb,km,bg,vro,tl,br,et,hu,oc,hy,se,mt,kxv,vep,kfe,gl,ba,sv,bfq,xmf,ur,kfa,kff,kfb,mn,th,lo,my,pci,lv,it,fi,brh,fo,bn,be,ru,mk,cs,he,fr,liv,cy,ga,sq,gd,xub,ka,tr,ny,zu,sl,kn,es,el,vot,yi,fy,tcx,lzz,mjt,as
who,*su,kto̞,jær,ktɔ,kʷis,mann,,a:ɾə,ˈken,kʰej,kɔːn,hw,,xʷɛːr,ˈxtɔ,,kɐ,,jaarə,je:ɾu,ˈki,vɛm,ʔaːj˧˧,,ja:ɾu,siapə,nuɡu,ne,,tare,,,boɾ,,veːɐ̯,ʋi,,kim,evaru,,,kẽ(j̃),tukud,ʾ̥nkṇā,kɔj,ˈkːiæ,,piv,ˈkes,ˈki,,ɔv,,,daat,ˈken,da:ɾə,,kɪ̞m,,ta:ɾa,mi,,da:ɾə,be:nonɖu,bʰu:mi,,kʰraj˧,,bəθù,ed,,k̟i,ˈkukɑ,de:ɾ,kvøːr,,xto,kto,kɔj,ɡdo,,ki,ˈkis,puːɨ̯,ceː,kuʃ,koː,da:ɾə,vin,cim,ˈⁿda.ní,úɓaːní,ˈɡdòː,ja:ɾu,ˈkjen,,ˈtʃen,,,oɾi,min,ne:du,
cut,,ˈrɛzac,likʰtʃɛ,t͡ɕɔɲt͡ɕ,ˈin.se.koː,,,,ˈleikɑtɑ,boɾiːˈdæn,kɑːʈ.nɑː,kʌt,,ˈscɛːra,,,,,,,təˈʎa,skɛːrə,kat̚˧˦,,,,k͈ɯntʰa̠,,,kʲiɾɯ̟ᵝ,,,,,,ˈsnɛi̯də(n),,kæsˈmæk,,,,kuɾˈtaɾ,,kāt´,,ˈlɤikːɑmɑ,,,ˈlɤikɑmɑ,ˈvaːɡ,,kətˈɾɛl,,,,ˈtʃɑptɑ,,,,ˈɧæːˌra,,tʃʼkʼiruä,,,,,,tat̚˨˩,,kaɪʔ,,ɡrīɛ̄st,taʎˈʎare,ˈleikɑtɑ,,,kɑʈɑ,,ˈrʲezətʲ,,ˈr̝ɛzat,,ku.pe,ˈiːe̞d̪ɨ,ˈtɔrɪ,ɟaːɾˠ,,kʲaːrˠ,,tʃʼrä,cesmec,,,rézati,,,,ˈlɤikɑtɑ,,,,ɔtʃʼkʼiru,,kɔ.ta
night,,ˈnɔt͡s,lɛtʰ,nɔt͡s,noks,laj.la,,ɾa:tɾi,ˈyø,ʃæb,ɾɑːt̪,naɪt,hɯn˧˩,nouʰt,ˈnʲit͡ʃ,,ɽɑ́ːt̪.ɽi,ˈmalam,iɾa:ʋə,ɾa:tɾe,ˈnit,nad̥,ʔɗem˧˧,naχ,andi,,pa̠m,ma:ha,nɐkˈtɪs,⟨yo1ru⟩,,ɛi,naɾkaɖ,nɑtː,naxt,nɑxt,ˈnuə̯ɕt,,ɾa:tɾi,ˈʃɛv,ˈno̯ap.te,ˈnoj.tɨ,tukud,yp´,nɔʃt,ˈɨː,ɡɐˈbi,,ˈøː,ˈeːjsɒkɒ,ˈnɥɛtʃ,ɡiˈʃɛɾ,ˈiɟɟa,lɛjl,la:n,ˈø,e:lumaɾam,ˈnojt̪ɪ,tʏ̞n,natː,iɾə,sɛri,raːt̪,bajiʈə,mulipe,siɾbedin,,klaːŋ˧.kʰɯːn˧,,ɲa̰,tūk,nakts,ˈnɔtːe,ˈyø,nam,nɔʰtː,,not͡ʂ,not͡ɕ,nɔc,not͡s,ˈlaj.la,nɥi,ˈiːe̞,noːs,ˈiːhə,ˈnaːt,,ədlə,ʁämɛ,ɟe̞ˈdʒɛ,,úɓusûːɠu,noːtʃ,ɾa:tɾi,ˈnot͡ʃe,ˈnixta,ˈøː,,ˈnaxt,ekka:ɖə,sɛri,ɾa:ti,ɹati
dull,,ˈtupiː,luwrɛ,ˈtɛm.pɨ,ˈhe.bes,ka.liːl,,,ˈtyltʃːæ,,,dʌl,,,,,,,,,,sløːv,kun˨˩,,,,mudida̠,,,,,,,,ʃtʊm(p)f,bɔt,,,,,toˈt͡ʃit,ˈsɛ.ɣu,,,,ˈnyhr,,,ˈnyri,,,butʰ,,,,ˈtylts,,,,,,dʒärguliä,,,,,,,,tóʊɴ,,,,ˈtylsæ,,,,tuˈpɨ,tʊˈpoj,,ˈtʊpiː,,e.mu.se,ˈt̪ɨːlzɑ,,,,,,blägvi,køɾ,,,ˈtɔ́p,,ˈromo,,ˈtylpːæ,,,,dʒängulä,,
we,,ˈmi,næ,mɨ,noːs,naħ.nu,mɔː,na:m,ˈmyø,mɒː,ɦəm,wiː,,vɪð,ˈmɪ,muʐ,,kami,na:m,jankulu,noˈzal.tɾəs,,t͡ɕʊwŋ͡m˧˦ toj˧˧,,nanga,kami,uɾi,na:m,mʲæːs,ɰᵝa̠ta̠ɕi̥ta̠t͡ɕi,,,mammoʈ,meː,viːɐ̯,ʋɛi̯,,,manamu,,noj,ˈnɔʃ,a:m,yoeṅ,ˈni.ɛ,ˈmiːʔ,ˈnaːmɪn,,ˈmeie,ˈmi,nus,mɛŋkʰ,ˈmoɑ̯j,,mambu,ˈmiː,amme,,bɪ̞ð,viː,nanga,tʃkʰi,ɦəm,nanga,mana:ɖu,amdə,,raw˧,pʰuak˥˧ hau˦˥,t͡ɕoʊʔto̰,ām,mɛ̄ːs,ˈnoi,ˈme,,,,,mɨ,niɛ,mɪ,(ʔ)aˈnaχnu,nu,ˈme̞ːg,niː,mˠɪdʲ,nɛ,ʃiɲ,naɳgə,tʃvɛn,bɪz,ˈi.fe,tʰiːná,ˈmíː,na:ʋu,noˈsotɾos,e̞ˈmis,ˈmyː,,vɛi̯,o:m,tʃkʰin,na:mu,ami
grass,*rt͡sʷa,ˈtraːva,mɛl,ˈtra.va,ˈher.ba,ħa.ʃiːʃ,sæbzæ,,ˈheinæ,sæbze,,ɡɹɑːs,ɲɯ˥,kraːs,,,t̪ŕ̩.ɳɐ,,,,ˈeɾ.bə,,kɔ˧˩,,,,,,ʒoˈlʲeː,kɯ̟̊ᵝsa̠,,feːə,,ɡrɑːs,ɡʁaːs,ɣrɑs,ɡʀaːs,,,,ˈjar.bə,ˈɡɾɐ̃mɐ,,s̥mau,trɛˈva,ˈhɑin,daˈmo,ˈɡɛwt,ˈrohi,ˈfyː,ˈɛrβo,χɔt,ˈsitnuː,ħɐˈʃiːʃ,,ˈhein,,ˈɛɾβa̝,ʏˈlæn,,,tʼqʼä,,,,,ows,jaː˥˩,ɲaː˨˩,mjɛʔ,,,ˈɛrba,ˈruoho,,kɹɛaːs,,,trɐˈva,,ˈtraːva,ˈdeʃe,ɛʁb,ˈɑːinɑ,ˈɡlaswɛɬd,fʲeːɾˠ,baɾ,ˈfiəɾ,,bäläχi,ɔt,ˈu.d͡zú,útʃâːni,ˈtràːʋa,,ˈpas.to,,ˈroho,ɡʁɔz,ɣɛːs,,tʼkʼä,,ɡʱãʱ
spit,,ˈpʎuc,litʼbənɛ,plut͡ɕ,ˈspu.oː,ba.sˁa.qa,,,ˈsylgie,,t̪ʰuːk.nɑː,spɪt,,ˈr̥aiːca,,,,,,,,spøtɘ,ɲo˧˩,,,ludah,,,,t͡sɨᵝba̠,,,,,ˈʃpʊkŋ̩,,,,,,,kuʃ.ˈpiɾ,,,,ˈsːylkæmæ,,,ˈsylitɑmɑ,ˈkøp,,tʰəˈkʰɛl,,,,ˈsylʲktɑ,,kusˈpiɾ,,,,pʰurtʼinuä,,,,,,,,tʰwé,,spʎāwt,spuˈtare,ˈsylkeæ,,,,,plʲɪˈvatʲ,ˈpɫuka,ˈplɪvnou̯t,,kʁa.ʃe,ˈsiʎgɨ,,,,,,pʰurtʰχɛbä,,,,,,eskuˈpiɾ,ˈfti.nɔ,ˈsylːetæ,,,,ntʃʼkʼväläpʰä,,tʰu pɛ.lʊa
walk,*ɡom.pa.rɡʲak,ˈiːsc,lizɛläl,iɕt͡ɕ,ˈɡra.di.or,ma.ʃaː,ɡæʃtæn,naɖakkuga,ˈkævelːæ,,ʈɛːʱl.nɑː,wɔːk,,ˈkauŋka,,,,,naɖə,naɖapaɾa,kə.miˈna,ɡɔː,ʔɗi˧˧,lʊəp,naɖa,,ˈkɘːt̚t͈a̠,e:kʰna,ˈɛjːtʲɪ,a̠ɾɯ̟ᵝkɯ̟ᵝ,,,taka,,ˈlaʊ̯fən,ˈloːpə(n),ˈɡo.en,jeriˈmæk,naɖutʃu,,ˈmer.d͡ʒe,ɐ̃.ˈdaɾ,tukud,ṭoer,ˈxɔdʲə,ˈkːæymæ,,,ˈkæimɑ,ˈjaːr,,kʰɑjˈlɛl,,,,ˈkæveltæ,naɖʋu,,,ɡoː,naɖəʋadə,gilulä,,naɖa,naɖam,naɖus,,dɤːn˧,ɲaːŋ˧˧,ʃaʊʔ,tūk,iɛ̂t,kammiˈnare,ˈkæʋelːæ,tʃeɾɾing,,,,xɐˈdʲitʲ,ˈɔdi,jiːt,,maʁ.ʃe,ˈkæːd̪ɨ,ˈkɛrðɛd,ʃuːlʲ,ˈɛtsi,,naɖi,siäruli,,,,,naɖə,kamiˈnaɾ,,ˈtʃæymæː,,,naɖaɾɾə,gɔlvä,he:kpo,kʰʊz.kaʴɦa
kill,*ksot,ˈzabic,lidgæri,zaˈbʲi.jat͡ɕ,ˈok.ki.doː,qa.ta.la,kuʃtæn,kolluga,ˈtɑpːuɑ,kʰoʃˈt̪ʰæn,mɑːɾ‿ɖɑːl.nɑː,kɪl,,ˈtrɛːpa,,,ɦɐ́n̪.t̪i,məmbunʊh,kollə,keɾijaɾa,məˈta,,ziət̚˧˦,,kollə,məmbunoh,t͡ɕuɡida̠,eɖabna,,ko̞ɾo̞sɨᵝ,,,haʋka,,ˈtøːtən,ˈdoːdə(n),,œldyrˈmæk,tʃampu,,omoˈrɨ,ma.ˈta(ʁ),tukud,sm̥lāp´,oˈbivəm,ˈtːɑpːmɑ,,,ˈtɑpmɑ,ˈøl,,spɑˈnɛl,ˈkodːdiːh(t),ˈʔaːtɛl,,ˈriktɑ,ta:ʋiɾ,,,ˈdøːda,koppə,ʔviluä,marna,kollə,aʋaka:,alangʈa:n,,kʰaː˥˩,kʰaː˨˩,θaʔ,tūk,nâːvɛ̂ːt,utˈt͡ʃi.de.re,ˈtɑpːɑː,kasfing,,,,ʊbʲɪˈvatʲ,ˈubiva,ˈzabiːt,,ty.e,ˈt̪ɑpːɨ,ɬaːð,ˈmˠaɾˠə,,maɾav,kenga:ɭ,kʼvlä,,,,uˈbìːti,kollu,maˈtaɾ,skoˈtono,ˈtɑpːɑː,ˈtɛjtn̩,,keɖukisti,ɔqʼvilu,badʒpo,
five,*lŋa,ˈpɛc,wɔχuʃd,pʲɛɲt͡ɕ,ˈkʷiːn.kʷe,xam.sa,,,ˈviːsi,pʰænd͡ʒ,pɑ̃ːt͡ʃ,faɪv,,fɪmː,ˈpjɑtʲ,pinˈdzə,pɐ́ɲ.t͡ɕɐn̪,,,,ˈsiŋk,,nam˧˧,,,limə,ta̠sʰʌ̹t̚,,,it͡sɨᵝ,bɛʃ,kwɛɡ,,,fʏnf,vɛi̯f,ˈfenef,beʃ,,,t͡ʃint͡ʃʲ,ˈsĩ.ku,,p̥rāṃ,,ˈviːsː,liˈma,ˈpɛmp,ˈʋiːs,ˈøt,siŋk,hiŋɡ,ˈvihːta,,,ˈviʒ,,,bʲiʃ,fɛm,,χutʰi,pãtʃ,,,,tʰaw,haː˥˩,haː˨˩,ŋá,,pìɛtsi,ˈt͡ʃin.kwe,ˈʋiːsi,,fɪmː,,,pʲætʲ,,ˈpjɛt,,sɛ̃k,ˈviːʒ,pɨ̞mp,kuːɟ,pɛs(ə),koːɡ̊ʲ,,χutʰi,beʃ,,,péːt,,ˈθinko,ˈpe̞(n)de̞,ˈviːz,fɪnf,,,χutʰ,,pãs
wash,,,liʃqʼwdi,mɨt͡ɕ,ˈla.woː,,ʃustæn,,ˈpesːæ,ʃostæn,ˈd̪ʱoː.n̪ɑː,wɒʃ,,θvɔː,,,,,,,rənˈta,,zɨə˧˩,,,,ɕ͈it̚t͈a̠,,,a̠ɾa̠ɯ̟ᵝ,,,,,ˈvaʃən,ˈʋɑsə(n),,juˈmɑχ,,,,lɐˈvaɾ,,lāṅ,,ˈmɤsːkːmɑ,maɡ.ˈhu.ɡas,,ˈpesemɑ,ˈmoʃ,,ləˈvɑl,,,,ˈpestɑ,,,,,,rtʃχuälä,d̪ʱuːn̪aː,,,,,laːŋ˦˥,,sʰé,,mazɡâːt,,ˈpestæ,,,,,mɨtʲ,,miːt,,la.ve,ˈpie̞zzɨ,ˈɡɔlχɪ,nʲɪɟ,,,,rɛtsχvä,,,,,,,,ˈpezeɑ,,,,ɔtʃχu,,dʱʊa
left,,,lɛrtʰɛn,ˈlɛ.vɨ,ˈlae̯.wus,ja.saːr,,,ˈhuruɑ,tʃæp,,lɛft,,,,,,,,,əsˈkɛ.rə,,t͡ɕaːj˧˦,,,kiri,,,,çida̠ɾʲi,,,,,lɪŋk,lɪŋks,leŋks,soɫ,,,stɨŋɡ,iʃ.ˈkeɾ.ðu,,c̥ʰveṅ,ˈlʲaf,ˈkːurɑ,,,ˈʋɑsɑk,ˈbɒl,,d͡zɑχ,,ʃɛlːuːk,,ˈhurɑ,,,huɫ,,,kʼvärtʃχäni,,,,,,saːj˦˥,,bɛ̀,,kɾèjs,,ˈʋɑsen,,,,,ˈlʲevɨj,,ˈlɛviː,,ɡoʃ,ˈkurɑː,χwiːθ,clʲeː,,kʰʲaːrˠ,,märtsχɛnä,,,,,,,,ˈkurɤɑz,,,,kʼväntʃχäri,,
cloud,*sprin.pa,,mɛrɛ,ˈxmu.ra,,sa.ħaː.bah,,mekʰam,ˈpilvi,(ʔ)æbɾ,meːɡʱ,klaʊd,fɯ˥,sciː,,,mɐj.ɡʱɐ́,,me:gam,mo:ɖa,,,məj˧˧,vɔlk,mo:ɖa,a.wan,kuɾɯm,bada:li,,⟨kumo1⟩,,,mabbu,ʃyː,ˈvɔlkə,ʋɔlk,ˈvolək,,me:gʰamu,,nor,ˈnu.vɐj̃,tukud,bbk,,ˈpːilv,,ˈku.mul,ˈpilʋ,ˈfɛlɦøː,,ɑmp,ˈpalːva,ˈsħaːbɐ,ha:gu,ˈpilvʲ,me:gam,,bʊ̞ˈɫʊ̞t,,mandʒu,munäpʰä,meːɡʱ,mo:ɖa,mabbu,a:bar,,meːk̚˥˩,mêːk,tèɪɴ,malgur,,ˈnu.vo.la,ˈpilʋi,dʒammaɾ,skʊt͡ʃː,,ˈxmara,ˈobləkə,,mrak,(ʕ)aˈnan,ny.aʒ,ˈpiːlɑ,ˈkʊmʊl,ˈsˠkamˠəl̪ˠ,,ɲiaɫ̪,mo:ɖə,ʁrubɛli,buˈɫ̩ut,mˈta.ᵐbo,íːfu,ɔˈbláːk,mēgha,,ˈsinɛfɔ,ˈpilvi,,,me:gam,pʼulä,badli:,daɔɹ
husband,,,tʃʼæʃ,mɔŋʂ,maˈriː.tus,zawd͡ʒ,,,ˈmies,ʃoʊˈhæɾ,,ˈhʌzbənd,po˧,ˈeiːjɪn.maːðʏr,t͡ʃɔlɔˈu̯ʲik,,,,,,məˈɾit,mæn,t͡ɕəwŋ͡m˨˩,,,suami,na̠mpʰjʌ̹n,,ˈʋʲiːrɐs,o̞t̚to̞,,,,,,mɑn,mɑn,æɾ,,,sots,ma.ˈɾi.du,,p̥ṭī,ˈmɤʃ,ˈmiːsː,,ˈɡwaː,ˈmeːs,ˈfeːrʝ,,ɑmuˈsin,ˈpoɑ̯dːɲiː,ˈraːdʒɛl,,ˈmezʲ,,,irĕ,ˈmɑːˌkɛ,,kʰɔmɔndʒi,,,,,,saː˩˩˦.miː˧,pʰua˩˨,lɪ̀ɴ,,vīːɾs,maˈri.to,ˈmies,,ˈmɛaːvʊɹ,sami,muʂ,muʂ,maʃ,ˈmanʒɛl,,ma.ʁi,ˈmiːe̞z,ɡuːr,fʲaɾˠ,bur,,,kʰmäri,kɔˈd͡ʒɑ,,uḿ̩jeːni,ˈmóːʃ,,maˈɾido,,ˈmeːz,,,,kʰɔmɔli,,ɡi.ɹi
head,*mɡo,ɦɫava,tʰχwim,ˈɡwɔ.va,ˈka.put,ra.ʔa.sa,sær,tala,ˈpiæ,sæɾ,sɪɾ,hɛd,kʲau˥,hœːvʏθ,ɦɔlɔˈu̯ɑ,,,kə.pa.la,talə,manɖa,ˈkap,hoːvəd,ʔɗəw˨˩,,tile,kəpalə,mʌ̹ɾi,kuk,,a̠ta̠ma̠,,caun,talla,,kɔpf,ɦoːft,,bɑʃ,tala,,kap,kɐ.ˈβe.sɐ,ta:l,k̥pāl,ɡləˈva,ˈpːæː,,pɛ̃n,ˈpeɑ,ˈfɛj,kap,ɡəˈluχ,ˈoɑ̯jːviː,ˈrɐːs,tɾajun,ˈpæ,manɖə,ˈtɛsta̝,ˈbɑʂ,ˈhʉːˌvɵd,manɖe,dudi,,maɳɖe,talaka:j,tal,tʰɔɮɢɔi,hua̯˩˩˦,hua˩˨,ɡáʊɴ,tel,ɡâlva,ˈtɛs.ta,ˈpæː,ka:ʈum,hœtː,mat̪ʰa,ɣaɫaˈva,ɡəlɐˈva,,ˈɦlava,ʁɔʃ,tɛt,ˈpæː,pɛn,caun̪ˠ,kɔkə,,maɳɖi,tʰävi,ˈbɑʃ,ˈmu.tú,îːkʰâːnda,ˈɡlàːʋa,tale,kaˈbeθa,ce̞ˈfali,ˈpæː,,ˈholə,maʈʈə,dudi,kukudu,muɹ
wife,*skʲe.dman,,χɛχw,ˈʐɔ.na,ˈuk.sor,zawd͡ʒa,,,ˈɑkːɑ,,,waɪf,,ˈeiːjɪn.kʰɔːna,druˈʐɪnɑ,ʂəˈd͡za,pɐ́t̪.n̪iː,istri,,,ˈdɔ.nə,,vəː˧˨ʔ,,,,a̠ne̞,,,t͡sɨᵝma̠,,,,,,vrɑu̯,,,,,,es.ˈpo.za,,p̥rbn̥dʰ,ʒɛˈna,ˈnɑːnɤ,,ˈɡwʁɛːk,ˈnɑine,ˈɒsːoɲ,ˈfenno,kin,,,,ˈɑk,,esˈposa̝,qɑˈtɯ̞n,hɵ̄sːtrʉ̂ː,,ɔsuri,,,,,,pʰa˦˥.ri˦˥.jaː˧,mia˦˥,məjá,,sīɛ̄va,ˈspɔ.za,ˈʋɑimo,,,,ˈʐonka,ʐɨˈna,ˈʒɛna,ˈmanʒɛlka,(ʔ)iˈʃa,fam,ˈnɑi,ɡuˈrai̯ɡ,bʲanˠ,ˈɡɾua,,,tsɔli,,,,ˈʒɛ̀ːna,,esˈposa,,ˈnɑin,,,,ɔχɔrdʒä,,ɡʱoɪ.ni
know,*ɕes,ˈvɛɟi̯ɛc,mäχäl,ˈvʲɛ.d͡ʑɛt͡ɕ,ˈski.oː,ʕa.li.ma,dɔːnistæn,aɾajuga,ˈtietyæ,d̪ɒːnesˈt̪ʰæn,ˈd͡ʒɑːn̪.n̪ɑː,nəʊ,ɣo˦˨,ˈvɪːta,ˈznɑte,poˈheˈdəl,,ta.hu,aṟi,teɾijaɾa,səˈbə,,ʔɓiət̚˧˦,vɪət,aɾiʋo,tahu,ˈa̠ːɭda̠,akʰna,ʒɪˈnoː.tʲɪ,,,,jeɾpaʈ,,ˈvɪsn̩,ˈʋeːtə(n),,bilˈmæk,eṟāgu,ˈzɑːniːn,ʃti,sɐ.ˈbeɾ,sun,cer,,ˈtːiːtmæ,,,ˈteɑdmɑ,ˈtud,,ɡitɛˈnɑl,,,,ˈtetɑ,asu:bej,,,veːta,aɾaʋə,rtʃkʰinä,dʒanːa,aɾi,teluse:,uɾtanɖa:t,mitəx,ruː˦˥,huː˥˧,θḭʃḭ,pun,zinâːt,saˈpeː.re,ˈtietæː,tʃa:ing,,,ˈvʲedat͡sʲ,znatʲ,,ˈvjɛɟɛt,ˈjeda,savwaʁ,ˈt̪iːe̞d̪ɨ,ˈmɛdrɨ̞,,di,,gott(ə) uɳɖi,tsɔdnä,bilˈmɛ́c,,,,ari,saˈbeɾ,ˈksɛ.ɾɔ,ˈtæːtæː,vɪsn̩,,aɾspini,ɔtʃkʰinu,ha:hpo,
freeze,,,likʼwrɛmi,zaˈmar.zat͡ɕ,ˈɡe.loː,,,,ˈjiædyø,,d͡ʒəm.nɑː,ˈfɹiːz,,ˈfrjouːsa,,,,,,,,,ʔɗawŋ͡m˧˦ ʔɓaŋ˧˧,,,,ˈɘːɭda̠,,,,,,,,ɡəˈfʁiːʁən,bəˈvrizə(n),ˈfʀei̯ʀen,,,,,ʒe.ˈla(ɻ),,,,ˈkːylmæmæ,,,ˈkylmumɑ,,,,,,,ˈjædudɑ,,ʃeˈaɾ,,,,ʔinuä,,,,,,kʰɛŋ˩˩˦,,,,,dʒeˈlare,ˈjæːtyæ,,,,,zəmʲɪrˈzatʲ,,ˈzmr̩zˌnɔʊ̯t,,ʒə.le,ˈkilmɨ,,,,rˠɔː,,gäqʼinvä,,,,,,eˈlaɾ,,ˈʝæːtyæ,,,,ɔqʼinu,,
blood,*kʰrak,ˈkr̩w,zisχ,krɛf,ˈsan.ɡʷis,,xun,ɾektam,ˈveri,xuːn,kʰuːn,blʌd,lɯːt˧,plouːð,ˈkrɔu̯,,ɐ́.s̪r̩d͡ʑ,,ɾattam,nettarə,ˈsaŋk,bloːd,maw˧˦,blut,tʃo:ɾe,darah,pʰi,kʰe:ns,krɒ͜úˑjæs,,,folʲ,nettuɾ,bluː,bluːt,blut,blut,ɡɑn,ɾaktamu,,ˈsɨn.d͡ʒe,ˈsɐ̃.ɡɨ,nettiɾ,jʰām,krɤf,ˈveri,,ˈɡwaːt,ˈʋeri,ˈveːr,,ɑɾˈjun,ˈvarra,dɛmː,nettir,ˈtʃɑk,ne:tuɾu,,qɑn,,rattə,zisχiri,,tʃo:ɾə,nettuɾ,nettuɾ,t͡sʰʊs,lɯa̯t̚˥˩,,θwé,netir,asinis,ˈsan.ɡwe,ˈʋeri,ditaɾ,plɔuːw,,,krofʲ,kr̩f,krɛv,,sɑ̃,ˈve̞r,ˈɡwaːi̯d,fˠɪlʲ,ɟ͡ʝak,,nəttəɾə,sisχli,ˈkɑn,maˈɡa.zi,íːɡaːzí,ˈkríː,ɾakta,ˈsanɡɾe,ˈema,ˈveri,blʊt,bluə̯t,po:kʰə,ditsχiri,ɾasadu,
sun,*ȵi.ma,ˈsɫ̩ŋkɔ,miʒ,ˈswɔɲ.t͡sɛ,,ʃams,ɔftɔb,su:ɾjan,ˈpæivæne,,,sʌn,taŋ˨˦ ŋon˧˩,souːl,ˈsɔnt͡sɛ,lmar,s̪úːɽ.jɐ,,su:ɾjan,su:ɾje,ˈsɔl,soːl,mat̚˧˨ʔ t͡ɕəːj˨˩,,tʃu:rja,matəhari,he̞,bi:ɖi,ˈsɑuleː,,,ɡriːn,poɾə,suːl,ˈzɔnə,,zon,ɡʲyˈnæʃ,su:ɾjuɖu,,ˈso̯are,ˈsɔɫ,ʋele,t̥ʰṅai,ˈslɤntsɛ,ˈpːæiv,,,ˈpæike,ˈnɒp,suˈlel,ɑˈɾɛv,ˈpea̯jvvaːʃ,ʃɛmʃ,ʋeda,ˈpæivæine,su:rijan,s̺ol,qʊ̞ˈjɑʂ,suːl,ottə,bʒä,,su:ɾja,poɖudu,suɾija,,dua̯ŋ˧.ʔaː˧.tʰit̚˦˥,taː˩˨ wen˦˥,nè,tūk,sāūle,ˈso.le,ˈɑurinko,de,sɔuːl,,ˈsont͡sa,ˈsont͡sə,ˈsɔnt͡sɛ,ˈslunt͡sɛ,,sɔ.lɛj,ˈpæːvɑ,haɨ̯l,ɟɾʲiənˠ,,,pottə,mzɛ,ɟyˈneʃ,ˈd͡zú.w⁽ᵝ⁾a,íːlaːnɡa,ˈsóːntsɛ,su:rja,ˈsol,ˈi.ʎos,ˈpæivikːo,zʊn,,su:ɾijan,mʒɔrä,be:ɾdu,be.li
near,,,pʰɛdiä,ˈblʲis.kʲi,proˈpin.kʷus,qa.riːb,,,ˈlæsːæ,næzˈd̪iːkʲ,,nɪə(ɹ),,,,niɡˈde,,dəkat,,,,nɛːr,ɣən˨˩,,,dəkat,ka̠k͈a̠p̚t͈a̠,,,,,,,næːr,naː,,,jɑχˈɯn,,,a.ˈpro̯a.pe,ˈpɛɾ.tu,,jit,ˈblizək,ˈlæhkːyn,,,ˈlæhedɑl,ˈkøzɛl,,mɔt,,ʔriːp,,ˈlæz,,,jɑ.ˈqɯ̞n,,,χɔlɔ,,,,,,klaj˥˩,,ní,,,viˈtʃino,ˈlæhelːæ,,,,ˈblʲiskʲi,ˈblʲiskʲɪj,,ˈbliːskiː,,pʁɛ,ˈle̞ʒgɨl,,d̪ˠlˠuː,,dɫ̪uː,,äχlɔ,jaˈkɯn,,,,,ˈθerka,,ˈlitʃi,,,,χɔlɔs,,
in,,,sgä,f,in,fiː,dær,,ˈsːɑ,dæɾ,ən.d̪əɾ,ɪn,,,,,,,,,ən,,t͡ɕawŋ͡m˧˧,,,,,,,ɲ̟i,,,,iː,ʔɪn,ɪn,,,,,ɨn,ẽj̃,,,vɤ,ˈhn,sa,,ˈs,bɒn,,mɛt͡ʃʰ,,,,ˈs,,,,iː,,,,,,,tɔtʰər,naj˧,naɯ˦˥,m̥à,,,ˈin,ˈsːɑ,,ʊiː,,,vɛ,vɔ,v,,dɑ̃,ˈs,ən,ɪ,ˈnə,,,ʃi,,,,ʋ,,en,en,ˈsːɑ,,,,,,bʱi.tɔɹ
mountain,*ri,ˈɦɔra,läχw,ˈɡu.ra,mons,d͡ʒa.bal,,mala,ˈmægi,kuːh,pə.ɦɑːɽ,ˈmaʊntɪn,pʲa˨˦,fjatl,ɦɔˈrɑ,ɣar,pɐ́ɽ.ʋɐ.t̪ɐ,,malai,da:ɾi,,bjɛrv,nuj˧˦,,kundə,ɡunoŋ,sʰa̠n,paɾta,ˈka͡l.nɐs,ja̠ma̠,tɑʁ,slʲuː,meʈʈa,fjɛlː,bɛrk,bɛrx,biə̯χ,,konɖa,ˈt͡ʃiːjɑː,ˈmuntɛ,mõ.ˈtɐ.ɲɐ,kappe,b̥ʰnṃ,pləniˈna,ˈmæki,,,ˈmægi,ˈhɛɟ,,lɛr,ˈvaːrriː,,,ˈmægi,ʋe:ʈume,monˈtaɲa̝,tɑw,bɛrj,male,gɔlä,pəhɑːɽ,kundə,gubal,danɖime:ʈ,ʊːɮ,pʰuː˧,pʰu᷄ː,tàʊɴ,tūk,kâlns,monˈtaɲɲa,ˈʋuori,maʃ,fjatl,pɔrbɔt,,ɡɐˈra,,ˈɦora,haʁ,mɔ̃.taɲ,ˈmæg,ˈmənɨ̞ð,ʃlʲiəvˠ,mal,,bəʈʈə,mtʰä,dɑː,ˈpʰi.ɽi,íntaːɓa,ɡɔ̀ːra,beʈʈa,monˈtaɲa,ˈo̞ro̞s,ˈmætʃi,,bɛrx,tiʈʈə,gɔlä,be:ɖo paha:ɖi,
