,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
eu,27.08333,20.87188,N/A,26.49305,21.3201,22.30375,24.14451,22.94192,20.26218,16.70138,21.36363,N/A,20.38281,22.72651,18.40277,22.17013,23.77259,N/A,22.0,25.71428,24.00318,25.0,20.63788,19.01044,23.12375,N/A,20.02499,N/A,20.23687,N/A,N/A,N/A,21.26388,19.86399,N/A,18.89615,17.75146,25.45144,20.67697,21.46164,21.11083,24.56349,N/A,20.0581,24.15295,14.40476,19.94191,21.91578,20.80314,20.0,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
th,24.791,22.94854,25.35714,22.98268,23.31548,24.52434,6.36218,24.63509,22.63173,23.28334,28.35714,20.83333,23.31915,23.41222,23.29371,22.49025,23.82305,26.14037,22.07098,20.13095,22.00655,28.86904,24.30083,23.77766,22.94005,24.0,23.51713,24.23611,23.40387,13.0,17.85714,20.0,23.94293,23.49893,20.0,22.70035,24.06066,23.59471,25.61955,21.95276,23.53138,22.20542,23.33333,22.96004,22.55587,24.70595,23.85557,22.25144,25.27521,24.54404,22.5,26.125,24.13492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo,20.71428,15.97222,N/A,22.29166,17.36441,21.17063,21.5,20.85763,18.94523,16.25,N/A,N/A,20.33234,20.7738,21.78571,20.20502,19.31795,24.44444,24.00793,N/A,21.4246,N/A,20.37698,23.07142,20.51041,N/A,23.75,N/A,19.92198,29.16666,N/A,N/A,19.77777,19.33035,N/A,24.32539,21.2601,20.29761,21.28679,20.96875,18.57142,21.89484,N/A,13.21428,22.19444,N/A,24.21875,19.38095,21.97916,N/A,N/A,N/A,18.40277,22.40178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl,25.92299,18.93013,23.64583,20.37752,14.72118,22.06164,24.18132,21.42545,19.76331,21.42301,21.25,N/A,22.95463,21.31624,21.51096,21.3501,21.56031,23.42171,23.86219,20.0,21.20411,27.5,10.58881,19.80655,22.66421,25.0,21.30217,N/A,20.15054,21.66666,31.875,N/A,7.56704,21.73275,30.83333,21.71362,19.49504,23.42463,24.72605,22.08482,22.74745,24.73011,N/A,23.33456,21.84289,13.73923,19.77974,21.15975,21.09735,22.35416,22.08333,18.75,20.52162,23.71808,20.13383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab,22.02876,25.83333,N/A,11.42857,26.79464,23.07738,25.0,23.55,31.47321,26.875,N/A,N/A,26.41607,22.76785,28.14484,22.08506,23.55357,N/A,27.5,N/A,25.6369,33.41666,25.17503,23.82063,26.16666,N/A,19.38095,N/A,24.77786,17.0,N/A,N/A,28.4809,24.62471,N/A,20.34722,24.29872,27.07619,26.27678,27.55952,23.16666,28.25714,N/A,27.55952,26.875,N/A,24.09038,24.82142,23.26829,29.00793,N/A,N/A,26.11607,24.89797,20.0,23.50446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gv,25.00099,19.91137,22.22222,23.26116,21.0773,23.79877,23.26081,23.3598,22.40665,24.07903,25.2922,32.0,23.58176,23.41228,23.56015,20.00667,22.86028,35.0,23.78591,15.10416,24.5705,23.56434,23.08866,24.68008,13.9365,12.5,24.56391,N/A,21.66318,30.0,N/A,22.5,23.46219,24.80027,21.66666,23.0527,22.46867,25.36457,24.94315,21.04876,20.61464,23.34574,N/A,20.46947,23.964,21.44014,23.39615,21.82419,24.0798,27.38368,26.66666,23.75,22.14285,23.56338,24.68253,23.45474,23.89455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfb,22.08966,22.07076,22.08333,21.31374,22.08449,18.34484,23.93168,18.79506,21.21164,20.99684,20.0,30.625,22.03215,19.40211,23.67733,22.34611,17.90844,25.55555,22.60046,24.44444,17.24553,24.48611,20.97009,21.67166,24.4076,25.0,20.35654,20.71428,21.17959,16.25,21.25,26.25,21.50195,21.3866,11.66666,16.1997,21.34529,16.72885,22.48036,24.27041,23.41758,24.85596,25.83333,22.67025,18.67516,17.41612,20.84579,24.28204,20.55085,18.95171,16.875,28.33333,23.3694,23.51135,23.80555,21.76924,25.62817,24.13838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,26.77083,17.67089,16.0,26.71875,20.5863,21.40982,23.60508,22.51248,20.76263,18.67249,N/A,N/A,22.38281,22.26143,22.22196,20.49269,19.92923,24.16666,19.12921,23.57142,20.65213,25.53571,21.67931,18.24005,22.44875,22.0,19.42471,20.5,21.97994,32.0,N/A,28.57142,22.22863,20.72354,23.33333,22.65488,20.91803,21.09761,22.18491,25.06024,22.11745,23.9918,N/A,24.26223,23.86693,18.49652,21.22963,22.1541,22.82174,20.7552,23.75,26.0,18.38963,22.54587,22.52976,21.89643,25.69973,24.53919,20.50339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga,27.64672,22.88374,28.54166,29.25694,22.60313,25.76243,25.17392,25.69469,22.66106,23.63657,29.16666,34.0,23.68059,25.24516,23.24157,22.30008,25.13169,23.95238,23.94964,20.40013,25.52384,24.12755,23.78985,23.89557,11.98611,12.5,23.67323,21.07142,23.7898,30.83333,24.375,24.375,23.81075,25.49843,23.33333,25.05436,23.57225,26.61564,26.55491,23.19687,23.26517,24.91747,31.66666,22.29152,24.76222,23.35046,24.47372,22.81136,25.25676,24.56124,25.0,24.46428,23.91493,24.29089,24.02777,23.71056,27.33095,11.42386,25.94556,24.15948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yi,23.75356,19.20833,25.76388,26.66666,21.02392,23.7688,23.90271,24.47106,20.74348,22.8546,21.25,22.5,21.0795,24.10417,13.97074,13.83022,24.45435,25.0,25.32366,20.28409,23.37912,23.54166,21.21312,22.70469,21.50414,32.5,20.60279,N/A,20.54302,N/A,N/A,N/A,22.10687,22.85395,N/A,23.37994,21.31472,24.14693,24.74426,20.93452,20.6686,23.12757,N/A,17.79034,22.72255,19.63492,22.28776,10.86888,23.95023,25.17222,26.66666,22.5,21.08968,24.0653,21.04166,21.06089,26.42857,21.20265,24.19503,20.67241,22.26519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is,25.72283,20.70516,26.73015,23.09801,20.77283,22.24985,24.48238,22.15419,20.02607,19.69449,25.17045,26.42857,23.44634,21.93848,12.56855,15.41519,21.76071,24.98626,22.95311,19.45075,22.36616,24.28769,20.21582,22.51138,23.28174,23.0,21.3689,20.06493,20.70451,24.16666,14.44444,22.77777,21.45936,21.10942,25.0,21.78906,20.5184,22.58552,23.69455,20.87361,23.16566,25.51337,16.875,22.4686,22.09691,16.96123,19.8877,20.36621,21.78925,23.52868,17.85714,19.31818,19.6326,24.38717,25.60879,21.33438,28.11298,23.08666,22.56242,21.82012,23.88563,17.04256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo,26.49799,22.38983,25.75,23.56349,21.75947,22.24223,25.46538,23.00852,20.9804,20.13567,21.25,27.85714,24.10372,22.58468,13.15682,16.38908,22.41799,29.12121,23.51044,30.0,22.57212,23.24147,21.15759,23.11522,25.05087,30.0,22.46192,23.10714,21.70767,24.16666,N/A,N/A,22.68323,22.39791,25.0,22.42134,21.25515,22.72862,24.2867,22.73983,24.41404,25.7868,N/A,21.602,22.43697,19.66224,21.16335,20.63613,21.53896,22.99442,28.5,14.92424,21.71406,24.95507,24.82986,22.08658,28.01361,24.44483,22.82143,22.61456,24.80674,18.37022,10.49615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co,N/A,N/A,N/A,N/A,16.28205,20.44871,23.07142,19.67948,21.07142,N/A,N/A,N/A,24.30555,16.875,30.71428,24.30555,19.48717,N/A,N/A,N/A,21.03174,N/A,18.86243,22.91666,21.66666,N/A,21.5,N/A,20.01322,N/A,N/A,N/A,18.74038,24.24216,N/A,16.16666,20.2619,23.58391,18.79807,20.59523,N/A,25.77314,N/A,22.91666,20.35714,N/A,22.14743,N/A,18.88888,24.28571,N/A,N/A,14.375,25.83549,N/A,15.35714,20.71428,20.83333,19.64285,19.61111,22.91666,30.79545,24.54545,23.00595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
as,23.55969,19.82755,28.25,21.40674,20.822,22.91834,21.84883,22.34567,21.27729,20.29535,18.69047,N/A,22.90663,22.06395,22.58747,21.26926,20.75608,21.01851,22.5809,23.98148,21.21875,24.54223,21.40191,20.16996,22.67408,16.0,21.15112,17.5,21.71088,22.5,27.14285,28.57142,21.3466,21.94648,25.0,21.01517,21.25735,22.98892,21.80045,19.79067,21.11511,24.36983,N/A,22.08465,21.57312,18.01467,21.23496,21.5856,23.81065,23.27149,20.13392,25.61111,19.72596,22.70183,19.84027,21.42234,23.82054,21.86308,21.45787,10.98107,24.4913,22.56402,22.25267,23.45363,27.48917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro,22.66014,20.07061,22.70833,20.44047,13.86984,22.00097,23.65621,22.09814,18.73721,19.13269,N/A,27.14285,21.73149,21.66668,21.58422,20.31503,21.34931,22.8308,24.02731,12.14285,22.12405,24.7242,15.63411,19.69381,20.97431,26.0,20.47305,23.125,20.30812,14.0,26.42857,N/A,16.7871,21.62875,29.0,21.4242,18.43975,22.27698,23.56442,19.61688,20.86315,24.32415,22.22222,21.87053,21.12992,14.88988,20.34542,21.26198,21.23811,20.60871,20.64285,19.0,20.06929,22.83832,19.46924,15.49803,24.25843,21.01371,21.12268,21.3727,22.7201,21.24607,20.6117,21.72826,14.82142,21.00938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi,N/A,N/A,N/A,N/A,12.85714,21.66666,N/A,18.125,18.88888,25.0,N/A,N/A,25.0,22.5,N/A,15.625,11.11111,N/A,N/A,N/A,16.42857,N/A,21.5,N/A,N/A,N/A,N/A,N/A,13.88888,N/A,N/A,N/A,19.0,24.0,N/A,17.22222,N/A,16.11111,24.16666,N/A,27.85714,20.625,N/A,20.0,11.11111,N/A,18.75,N/A,N/A,N/A,N/A,N/A,N/A,20.0,N/A,25.45454,N/A,N/A,15.0,N/A,25.55555,18.125,19.375,N/A,N/A,17.14285,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl,24.81476,19.21195,29.89682,22.49458,19.68028,22.07283,23.29568,21.61475,9.82797,12.13182,22.22727,19.0,21.55808,22.40596,21.39478,19.86243,21.87281,25.17708,21.98995,20.75925,21.45574,22.87121,19.91134,20.06728,22.74422,N/A,20.49319,21.11111,10.70904,N/A,13.75,20.0,20.16967,20.90363,27.5,21.63922,19.39689,22.76975,22.73849,21.28796,20.89351,23.49382,23.33333,20.92176,22.15393,19.33917,19.67069,19.52788,21.31618,20.96215,38.75,N/A,20.0204,22.8461,20.06349,20.10523,26.9933,22.1948,21.68305,21.07368,23.38446,20.02152,20.49164,21.58133,18.08201,21.6808,19.14303,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ay,21.25,22.85714,23.33333,N/A,28.29365,24.59325,20.71428,20.02314,26.66666,20.0,N/A,N/A,22.22222,17.82738,28.33333,24.0873,14.97685,N/A,N/A,N/A,18.86574,22.5,26.11111,15.9375,27.08333,23.33333,13.125,N/A,17.80423,N/A,N/A,N/A,29.125,13.45833,N/A,15.55555,17.85714,18.75,17.2619,N/A,21.42857,26.85185,N/A,25.0,26.11111,24.16666,17.03703,22.70833,22.46428,19.28571,16.875,28.33333,N/A,22.85714,N/A,27.5,23.57142,21.86507,20.41666,23.09523,28.33333,25.3125,19.9041,35.0,N/A,23.05555,21.66666,N/A,16.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wa,13.33333,19.375,N/A,N/A,15.55985,25.0,22.5,17.77777,16.14285,23.5,N/A,N/A,20.68253,15.0,20.375,20.87301,16.11111,N/A,N/A,N/A,20.0,N/A,21.74074,19.28571,14.375,N/A,27.5,N/A,22.10557,N/A,N/A,N/A,20.43142,21.5909,N/A,19.375,24.0,19.375,21.62222,N/A,27.8125,21.46705,N/A,N/A,19.44444,N/A,20.38961,14.28571,21.11111,N/A,23.33333,N/A,N/A,21.70138,N/A,18.94179,N/A,21.11111,13.18181,20.83333,23.46388,N/A,19.86111,17.16666,N/A,20.60185,26.74074,N/A,27.09401,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dz,23.0,29.5,22.5,31.60714,29.70238,27.56944,22.8373,21.50694,23.27295,20.29067,N/A,N/A,26.67592,26.74007,26.31944,24.1283,27.46031,28.53174,24.28571,N/A,26.64947,N/A,28.68055,26.45833,26.35416,6.25,26.45555,N/A,23.3201,42.5,N/A,28.33333,27.83779,25.90376,21.875,26.833,23.05385,26.02645,23.73611,25.33333,26.17187,21.91871,N/A,25.29166,28.04166,18.75,23.28637,30.52083,24.84409,24.9375,20.0,21.25,N/A,22.53968,28.33333,30.625,26.0,27.20833,29.63789,26.54166,25.85648,33.75,29.0895,26.52834,N/A,25.67261,25.85544,N/A,25.71853,21.66666,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii,27.14583,26.08333,25.0,29.83333,23.21626,29.32088,24.88461,27.90043,24.7123,12.66666,N/A,27.5,23.72916,31.39339,23.64285,23.81037,29.76731,N/A,30.66666,N/A,28.37337,32.80952,26.63157,30.75427,18.98611,8.75,29.74867,N/A,23.77641,23.75,N/A,N/A,26.73333,30.74847,N/A,30.76562,28.58248,29.71831,26.8905,20.41666,26.61416,21.94791,N/A,31.73333,29.47979,21.25,27.3373,26.86111,31.86181,17.72222,21.66666,18.75,28.92857,26.2273,27.75,26.94312,28.69444,25.64722,29.51731,27.29107,27.95386,26.79166,28.31733,31.06639,N/A,26.98901,26.70982,N/A,23.65178,28.88888,19.0,13.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pci,21.90683,20.35515,19.625,20.81969,22.49343,21.87907,20.79891,21.9752,22.53149,22.56478,31.5,27.14285,20.49646,22.03972,21.58463,21.09976,21.45093,25.49107,21.3767,22.14285,18.85215,25.06944,23.58179,25.03889,22.84744,30.0,22.73214,33.0,22.97458,24.0,23.57142,19.28571,23.52614,24.05277,11.66666,20.68525,23.29446,20.73742,24.39607,22.1166,23.76712,22.9227,38.0,21.7279,17.26133,22.61658,23.41416,20.75434,24.16379,22.58035,31.66666,26.25,22.23448,21.06573,22.63392,23.50991,27.03333,23.52352,20.37954,22.66408,23.96827,20.84318,23.58226,23.82418,25.61688,22.78512,21.8534,13.33333,22.33788,28.33333,19.375,26.0248,27.1764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha,N/A,16.42857,N/A,N/A,7.5,11.25,N/A,21.66666,23.125,N/A,N/A,N/A,15.0,11.25,N/A,19.28571,6.875,N/A,N/A,N/A,17.77777,N/A,8.75,28.33333,23.75,N/A,N/A,N/A,23.125,N/A,N/A,24.375,8.75,18.57142,N/A,10.0,N/A,15.55555,27.5,N/A,27.5,16.66666,N/A,16.25,18.75,N/A,29.16666,20.625,N/A,N/A,N/A,N/A,N/A,10.71428,N/A,N/A,N/A,18.75,10.0,20.71428,23.125,N/A,21.11111,N/A,N/A,20.71428,N/A,N/A,23.125,N/A,N/A,27.5,N/A,11.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oc,21.91269,15.78228,18.77777,24.31439,8.87738,22.49482,22.76316,22.92854,18.51707,18.34904,17.08333,N/A,21.82817,20.98336,19.50099,19.12899,22.31043,26.25,29.65625,21.70138,21.08908,26.76388,15.22521,20.93875,19.99801,26.0,22.50137,N/A,20.65639,N/A,N/A,27.5,14.68904,21.59204,N/A,21.42989,18.42418,23.32252,23.84775,18.41065,19.15695,24.33756,N/A,21.39987,20.69474,13.75656,20.80938,20.33647,22.10957,21.90972,19.28571,19.0,18.10941,24.05418,16.76587,12.95147,24.99007,21.71633,21.04522,20.04473,22.30846,22.64238,19.54026,22.22542,17.82967,20.66133,12.49341,N/A,18.95316,20.71428,16.90909,28.85185,21.95238,22.23236,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr,22.15805,20.10589,26.0,24.90178,22.75451,22.6585,24.46538,23.85034,21.71351,20.7512,20.71428,33.0,20.36073,24.0379,23.1771,23.14954,23.11216,8.01609,11.05891,14.28571,22.76458,25.5324,22.68371,22.88764,23.31845,19.0,20.88255,16.0,21.68599,35.0,8.75,14.28571,23.37646,22.42431,8.33333,23.0327,23.53371,23.06542,22.80732,22.57304,22.74638,24.98036,29.16666,22.85863,22.13928,20.86672,21.38554,21.87166,22.92751,22.63461,31.96428,23.54545,21.56651,24.27555,23.31439,23.88356,24.27248,23.13122,22.81722,22.55402,25.28418,23.17849,22.85767,24.15808,21.78571,22.20177,22.92822,N/A,22.11367,21.90476,23.14285,24.58994,24.56825,22.34397,22.85714,22.56893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
az,21.91095,19.65472,20.0,26.9074,22.07216,21.64866,24.01613,22.40187,21.59928,20.919,25.46428,30.0,20.07576,22.79513,23.61412,24.14757,21.99606,7.64204,10.71527,22.91666,22.20483,31.05902,22.15638,21.57686,22.9038,15.0,21.02062,27.5,21.65789,35.0,N/A,12.5,22.31923,21.81747,N/A,21.81162,22.28829,22.16383,23.57324,24.63541,21.69741,24.51841,29.16666,22.02963,21.67925,22.34222,20.69222,21.8149,21.69848,21.14898,24.7619,25.0,21.20461,24.13628,24.09722,22.82932,25.74829,23.27947,21.52075,20.64462,24.47482,23.34548,23.21194,24.14223,23.57142,21.28485,22.65126,N/A,21.56433,19.28571,20.45833,24.08418,23.175,22.5943,20.625,22.92648,6.28934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch,N/A,N/A,N/A,N/A,28.125,N/A,N/A,N/A,15.55555,N/A,N/A,N/A,30.0,N/A,N/A,N/A,N/A,N/A,21.0,N/A,N/A,N/A,21.66666,N/A,N/A,N/A,2.0,N/A,15.55555,N/A,N/A,N/A,26.25,11.5,N/A,N/A,N/A,N/A,20.0,N/A,22.22222,26.25,N/A,24.44444,N/A,26.66666,17.72727,21.875,N/A,N/A,N/A,N/A,N/A,31.42857,N/A,25.0,N/A,N/A,N/A,17.77777,32.14285,N/A,17.0,17.0,N/A,18.33333,28.125,N/A,16.66666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.58333,26.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brh,21.92291,19.17545,26.19047,19.49799,21.86243,21.29243,23.24821,20.58763,21.26546,21.08385,31.5,31.42857,21.43808,22.33243,21.78365,21.75345,21.10753,23.42013,20.00811,22.14285,21.54523,20.59027,21.43808,21.87234,23.21175,33.33333,20.63836,20.625,21.49191,26.0,8.33333,26.66666,22.24432,20.86158,15.0,20.37337,21.05927,22.13889,23.50825,21.58835,22.53309,24.39191,20.83333,22.1382,20.67384,19.74431,22.82014,21.34381,22.67016,21.64285,37.0,15.0,20.3937,22.13342,20.12896,22.86019,23.05128,23.08496,20.59987,21.31634,24.70943,22.19321,22.63283,22.36767,20.0,22.05678,22.45745,20.71428,20.99625,25.75,14.44444,23.54761,27.57467,21.20326,17.5,23.80841,21.52942,21.00942,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb,30.83333,8.75,16.0,18.11688,18.07466,21.04329,21.21666,18.79094,18.77899,16.53373,N/A,N/A,20.9908,20.9559,5.08461,7.10827,18.55549,N/A,19.58333,N/A,19.06487,22.5,20.80697,23.12334,22.12028,26.0,22.30654,N/A,20.03179,17.0,N/A,N/A,20.90608,21.73015,N/A,20.8356,18.72235,22.42791,22.90438,22.85714,21.96352,21.19446,14.28571,17.97619,19.6574,14.875,19.35275,18.56887,21.45032,20.0,19.28571,24.0,N/A,20.98388,21.42857,20.85508,23.33333,22.56514,21.14812,20.32638,21.10827,19.92738,16.23781,18.31222,N/A,24.63955,19.33306,N/A,20.64449,17.14285,23.0,28.44444,17.5,19.53661,N/A,14.53333,21.16789,23.29383,N/A,20.98711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
os,N/A,19.5,N/A,N/A,24.54545,21.5,N/A,23.75,15.05555,13.5,N/A,N/A,17.77777,23.5,28.33333,27.70833,25.0,N/A,33.125,N/A,15.0,N/A,23.35858,20.1923,22.5,N/A,N/A,N/A,16.5,N/A,N/A,N/A,24.47222,20.5,N/A,19.16666,21.41666,22.72727,21.375,26.11111,21.11111,20.64935,N/A,24.16666,22.22222,20.0,19.75,N/A,21.25,N/A,N/A,N/A,N/A,24.0625,N/A,N/A,N/A,23.33333,21.0,N/A,25.55555,25.0,25.11111,23.25,N/A,20.93434,20.0,N/A,14.0,N/A,N/A,N/A,N/A,15.5,N/A,24.0,30.625,19.63068,N/A,24.44444,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi,23.79001,17.18085,25.0,21.27324,19.91374,23.77359,23.78875,23.16739,20.62522,20.62504,21.8956,35.0,22.95766,22.94558,20.38282,21.52941,22.29101,18.60998,22.35313,19.45238,20.97622,26.71875,21.82314,18.52363,23.64999,11.25,21.05869,N/A,21.84985,24.16666,25.0,36.66666,21.99978,22.46944,36.0,22.49562,22.02368,23.12004,22.60316,21.59816,21.30514,25.32174,29.16666,21.65715,23.19329,20.45815,22.04828,21.85994,23.38049,23.2938,24.58333,21.45833,20.8441,23.50353,22.05853,23.2923,21.36904,23.50845,21.6803,15.43306,24.36431,21.72531,21.36423,22.1177,24.78021,16.96736,20.42526,15.71428,21.71947,24.16666,24.18333,29.64484,25.86805,22.96275,29.16666,21.22834,22.01979,20.13067,N/A,21.40732,20.24429,24.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl,25.25287,19.76296,23.47916,20.88541,21.29017,23.02506,24.94132,21.87173,12.86268,15.29194,21.5909,21.66666,23.18508,22.95816,21.37978,21.57645,22.20541,24.71527,21.48963,21.50462,22.36204,24.15419,20.6418,19.79914,23.7218,13.75,22.40466,24.6875,9.60792,25.83333,15.0,20.0,21.10744,22.37214,29.16666,21.628,20.54525,23.28238,23.77185,22.23047,22.64602,25.74314,16.42857,21.53666,23.27937,19.55394,21.66645,21.42711,22.39717,22.66441,30.20833,16.66666,20.6359,24.56332,21.06337,20.45326,26.65376,22.55091,22.09002,22.69102,24.49518,21.19277,21.9582,22.49008,18.26719,22.34747,20.93163,19.375,12.35226,17.80423,25.55224,25.33068,24.77083,24.46623,23.125,20.84508,22.53875,22.80249,20.0,22.0122,19.36197,17.0,22.69495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru,24.56808,19.9225,24.10416,20.17074,20.79936,22.5389,25.70386,21.99106,12.57781,15.24491,18.95833,25.0,23.05805,22.6688,21.87323,21.5218,22.19302,26.80357,22.8823,22.83068,22.6615,23.13195,20.48416,20.49372,24.19767,13.75,22.19452,20.68181,11.50865,22.5,13.75,22.14285,21.12703,22.45619,19.28571,22.01263,20.59557,23.39248,23.78567,21.87232,22.72249,25.78407,19.375,22.57063,22.36367,20.61207,21.10797,21.3293,22.46773,21.63964,30.20833,16.75,21.5681,25.49179,24.14787,21.29535,26.08253,22.4524,22.00669,22.41827,24.42389,22.21444,21.16465,21.2435,18.57142,22.79986,20.59286,20.55555,12.13285,20.18849,23.24537,27.75352,25.97916,24.41195,22.14285,20.6175,22.48449,22.72612,17.77777,21.99605,20.46852,16.25,22.52834,12.37079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
