word,pl,cy,de,lt,ru,gv,el,xmf,te,yi,lzz,da,es,is,it,sva,ka,sl,oc,sv,br,fo,ga,pt,nl,lv,sk,bg,be,gd,af,ro,fy,ca,hy,gl,mk,no,sq,cs,fr,uk
pull,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,,ˈtsiːən,,tʲɪˈnutʲ,,,zindäpʰi,,,ɔzdimu,trɛkə,tiˈɾaɾ,ˈtraːɣa,t̪iˈrare,libid,mɔkʰätʃvä,,,,,,,pu.ˈʃa(ɹ),ˈtrɛkə(n),,ˈci̯aɦnuc,,t͡sʲaˈɣat͡sʲ,,,,,tiˈɾa,kʰɑˈʃɛl,,,,,ˈtaːɦnou̯t,ti.ʁe,tʲɐˈɦɑte
sea,ˈmɔ.ʐɛ,moːr,meːɐ̯,ˈjuːrɐ,ˈmorʲe,,ˈθalasa,zʁvä,,,zuʁä,hav,ˈmaɾ,haːv,ˈmaːre,dzuʁwä,zʁvä,ˈmóːrjɛ,,ɧøː,ˈmoːʁ,hɛaːv,,maɾ,zeː,jūːɾa,ˈmɔrɛ,moˈrɛ,,,,ˈma.re,seː,ˈmar,t͡sɔv,,,hɑːʋ,dɛt,mor̝ɛ,mɛʁ,
dust,kuʂ,ɬuːχ,ʃtaʊ̯p,,pɨlʲ,dʒaun,,tʼvɛri,,,mtʼvɛri,støːv,ˈpol.bo,rɪːk,ˈpol.ve.re,pʼisw,mtʼvɛri,ˈpráːx,,dam,,,dʲanˠəx,ˈpɔ,,,,,pɨɫ,,stɔf,,,ˈpols,pʰoˈʃi,pɔ,,,,,pu.sjɛʁ,
that,ˈtam.tɛn,ˈhʊnʊ,ˈjeːnɐ,,tot,,,tʰinä,aː,,ɛjä,dən,ˈese,,ˈkwello,ɛdʒi,is,,,dɛnː,,,ənˠ,ˈe.sɨ,dɑt,tas,tɛn,ˈɔnzi,toj,ʃɪn,,aˈt͡ʃela,,əˈkəʃ,ɑjd,,,,,ˈtamtɛn,sə,
tail,ˈɔ.ɡɔn,ˈkənfɔn,ʃvant͡s,,xvost,,,kʼudɛli,,,kʼudɛli,haːlə,ˈkola,ˈhaːlɪ,ˈkoda,hækʼwɛd,kʼudi,ˈrɛ́p,,svans,,,ˈɾˠɨbˠəl̪ˠ,ˈʁa.bu,staːrt,astɛ,ˈxvɔst,,xvost,,,ˈkʷadə,,ˈku.ə,pɔt͡ʃʰ,ˈraβo̝,ˈɔpaʃka,,,ɔtsas,kø,
float,,,ˈtʀaɪ̯bm̩,,ˈplavətʲ,,,pʰäpʰäpʰi,teːlu,,mɔmkʰu,,,,ɡalledˈdʒare,,tʼivtʼivi,,,flyːta,,,,,ˈdrɛi̯və(n),,,,,,,,,floˈta,,,,,,ˈplavat,flɔ.te,
fall,ˈspa.dat͡ɕ,ˈsərθjɔ,ˈfaln̩,,ˈpadətʲ,,,dɔntʰχäpʰä,,,gɛntʰχinu,,kaˈeɾ,ˈfatla,kaˈdere,liwɛχ,dätsɛmä,ˈpaːsti,,falːa,,fatl,tʲɪtʲ,kɐˈiɾ,ˈvɑlə(n),,,ˈpad̪əm,,t̪uʰtʲ,fal,kəˈde̯a,,ˈkaw.ɾə,əŋkˈnɛl,,,,ˈbiɛ,ˈpadat,tɔ̃.be,ˈpadatɪ
night,nɔt͡s,noːs,naxt,nɐkˈtɪs,not͡ɕ,ɛi,ˈnixta,sɛri,raːtri,,sɛri,nad̥,ˈnot͡ʃe,nouʰt,ˈnɔtːe,lɛtʰ,ʁämɛ,noːtʃ,ˈnɥɛtʃ,natː,,nɔʰtː,ˈiːhə,ˈnoj.tɨ,nɑxt,nakts,ˈnɔt͡s,nɔʃt,not͡ʂ,,naχ,ˈno̯ap.te,ˈnaxt,ˈnit,ɡiˈʃɛɾ,ˈnojt̪ɪ,nɔc,nɑtː,ˈnaːt,not͡s,nɥi,ˈnʲit͡ʃ
rain,dɛʂt͡ʂ,ɡlau̯,ˈʁeːɡən,ljɛˈtʊs,doʂtʲ,flʲaː,vɾoˈçi,tʃʼvɛmä,,,mtʃʼimä,ˈʁɑɪ̯ˀn,ˈʎubja,ˈrɪkniŋk,ˈpjɔddʒa,utʃχɛ,tsʼvimä,ˈdə́ʃ,ˈplɥɛ(d)ʒo,rɛŋn,,ɹɛkn,ˈbˠɑːʃtʲəx,ˈʃu.vɐ,ˈreː.ɣə(n),liɛ̂tus,daːʃc,dɤʃt,doʂt͡ʂ,ˈɯʃkʲə,rɪə̯(n),ˈplʷaje,rai̯n,ˈplu.ʒə,ɑnd͡zˈɾɛv,ˈt͡ʃuβja̝,dɔʃt,,ʃiː,ˈdɛːʃc,plɥi,dɔʃt͡ʃ
meat,ˈmʲɛ̃.sɔ,kiːɡ,flaɪ̯ʃ,,ˈmʲasə,feːlʲ,ˈkre̞as,χɔrtsi,,flɛɪʃ,χɔrtsi,,ˈkarne,kʰjœːt,ˈkar.ne,lɛʁw,χɔrtsi,mɛˈsóː,,ɕœtː,,t͡ʃʰøːʰt,fʲoːlʲ,ˈkaɻ.ne,vleːs,ɡaʎa,ˈmæso,mɛˈsɔ,ˈmʲasa,,fləis,ˈkarne,flai̯s,ˈkaɾn,mis,,,çøːt,miʃ,ˈmaso,vjɑ̃d,ˈmjɑsɔ
think,ˈmɨɕ.lɛt͡ɕ,ˈmɛðʊl,ˈdɛŋkən,,ˈdumətʲ,,ˈsceftome,gurtʃämä,,,ɔsimädu,,penˈsaɾ,ˈhʏxsa,,liskʼɔrɛ,pʰikʰri,ˈmiːsliti,,,,,capˠ,pẽˈsaɾ,ˈdɛŋkə(n),,ˈmisli̯ɛc,,,,dəŋk,ɡɨnˈdi,,pənˈsa,mətɑˈt͡sɛl,,,,mɛnˈdɔj,ˈpr̝̊ɛmiːʃlɛt,pɑ̃.se,ˈdumɐte
smoke,dɨm,muːɡ,ʁaʊ̯x,,dɨm,ˈd͡ʒeːax,kaˈpno̞s,kʼumä,,,kʼɔmä,røj,ˈumo,ˈreiːkʏr,,zinqʰ,bɔli,ˈdím,,,,ˈɹɔiːjkʊɹ,ˈdʲat̪ˠəx,ˈfu.mu,roːk,,ˈdim,,dɨm,t̪ɔʰtʲ,,,,ˈfum,t͡suχ,ˈfume̝,,,,diːm,fy.me,dɪm
father,ˈɔj.t͡ɕɛt͡s,taːd,ˈfaːtɐ,ˈtʲeːvɐs,ɐˈtʲet͡s,ˈeːar,paˈteras,mumä,,ˈfɔtəʁ,bäbä,,ˈpadɾe,ˈfaːðɪr,ˈpa.dre,mu,mämä,ˈɔ̀ːtʃɛ,ˈpajɾe,,ˈtɑːt,ˈfɛaːjɪɹ,ˈahəɾʲ,paj,ˈvaː.dər,tǣːws,ˈɔcɛt͡s,bɐˈʃta,ˈbat͡sʲka,ˈahəɾʲ,fɑːdər,ˈta.tə,hai̯t,ˈpa.ɾə,hɑjɾ,,,,baba,ˈotɛt͡s,pɛʁ,ˈbɑtʲkɔ
straight,ˈprɔ.stɨ,,ɡəˈraːdə,,prʲɪˈmoj,,,tʰini,,,duzi,,,peitn,dritto,mɛtsʼwin,stsʼɔri,,,,,,ˈdʲiːɾʲəx,ˈʁɛ.tu,rɛxt,,,,praˈmɨ,tʲiːɾʲəx,,drept,,,uˈʁiʁ,,,,,ˈpr̝̊iːmiː,dʁwɑ,
ash,ˈpɔ.pʲuw,ˈɬɨ̞dʊ,ˈaʃə,,ˈpʲepʲɪl,,,nätʃʼvi,buːɖida,,nɔmtʃkʰä,,θeˈniθa,ˈaska,,kʰæm,pʰɛrpʰli,pɛˈpéːw,,,ˈlyːdy,ˈœska,l̪ˠuə,,ɑs,,ˈpɔpɔɫ,ˈpɛpɛl,ˈpopʲeɫ,,,,ˈjɪskə,,moˈχiɾ,,,,,ˈpopɛl,sɑ̃dʁ,ˈpɔpʲil
louse,vɛʂ,ˈɬeɨ̯ɛn,laʊ̯s,,voʂ,,,tʼi,,,tʼi,,ˈpjo.xo,luːs,pi.ˈdɔk̚.kjo,tʼiʃ,tʼili,ˈúːʃ,peˈzul,,ˈlɔw,lʉuːs,,pi.ˈo.ʎu,lœy̯s,,ˈvɔʃ,ˈvɤʃkə,voʂ,,,,,ˈpoʎ,vɔˈt͡ʃʰil,,ˈvɔʃka,,mɔr,ˈvɛʃ,pu,ˈwɔʃɐ
green,ʑɛˈlɔ.nɨ,ɡwɨ̞rð,ɡʁyːn,,zʲɪˈlʲɵnɨj,,ˈpɾasinos,tsʼvänɛ,,ɡʁin,χäntʃʼɛni,ɡrœn,ˈberde,kraitn,ˈver.de,jərʒi,mtsʼvänɛ,zɛˈlɛ́n,ˈbert,ɡrøːn,,,ɡlˠasˠ,ˈveɾ.ðɨ,ɣrun,zaʎʃ,ˈze̞.ɫe̞.niː,zɛˈlɛn,zʲaˈlʲonɨ,ˈuəɲə,,ˈver.de,ɣriə̯n,ˈvɛɾt,kɑˈnɑt͡ʃʰ,ˈbeɾðe̝,,,ˈɟɛlbəɾ,ˈzɛlɛniː,vɛʁ,zeˈlɛnei̯
human,ˈlut͡s.kʲi,,mɛnʃlɪç,,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,,,kʼɔtʃi,,,kʼɔtʃi,,uˈma.no,,,ämswäld,ädämiäni,tʃlɔˈʋèːʃki,,²mɛnsklɪ(ɡ),,,,u.ˈmɐ.nu,,,,,,,,o.meˈnesk,,uˈma,mɑɾtʰkɑˈjin,,,,,ˈlɪtskiː,y.mɛ̃,
fly,ˈmu.xa,,ˈfliːɡə,,ˈmuxə,,ˈmiɣa,pʰurinuä,iːɡa,,ɔpʰutʰχinu,fluːə,ˈmoska,ˈflʏːɣa,,lipʼɛr,pʰrɛnä,ˈmùːxa,,,,ˈfluː(w)ʊ,kɪˈlʲoːɡ,ˈmos.ka,vlix,muʃa,ˈmuxa,muˈxa,,,,,mɪx,ˈmos.kə,t͡ʃɑnt͡ʃ,ˈmoska̝,,²flʉːɡə,,ˈmou̯xa,muʃ,
stick,kʲij,,ʃtaːp,lɐzˈdɐ,ˈpalkə,,,bigä,,,bigä,kɛp,,ˈstaːvʏr,basˈtone,pʰäu,dʒɔχi,,,ɕɛp,,,ˈbˠat̪ˠə,ˈpaʊ,,,,ˈprɤtʃkə,,,,,,,pʰɑjt,,stap,,,ɦuːl,bɑ.tɔ̃,
head,ˈɡwɔ.va,pɛn,kɔpf,,ɡəlɐˈva,caun,ce̞ˈfali,dudi,tala,,dudi,hoːvəd,kaˈbeθa,hœːvʏθ,ˈtɛs.ta,tʰχwim,tʰävi,ˈɡlàːʋa,kap,ˈhʉːˌvɵd,pɛ̃n,hœtː,caun̪ˠ,kɐ.ˈβe.sɐ,ɦoːft,ɡâlva,ɦɫava,ɡləˈva,ɣaɫaˈva,,,kap,ˈholə,ˈkap,ɡəˈluχ,ˈtɛsta̝,,,kɔkə,ˈɦlava,tɛt,ɦɔlɔˈu̯ɑ
neck,ˈʂɨ.ja,ɡʊðv,hals,ˈkä̌ːklɐs̪,ˈʂɛjə,,,kʼisɛri,,haldz,dʒinikʰi,hals,ˈkweʎo,hauls,ˈkɔl.lo,kʼintʃχ,kʼisɛri,ˈʋráːt,,,,,ˈmˠɪnɑːl,pɨʃ.ˈko.su,,,kr̩k,ˈʃijə,,,,ɡɨt,,ˈkɔʎ,viz,pesˈkoθo̝,vrat,hɑls,ˈcafə,kr̩k,ku,ˈʃɪjɐ
dry,ˈsu.xɨ,sɨːχ,ˈtʁɔkən,,sʊˈxoj,,,skʰiru,,,χɔmulä,tœːr,ˈseko,θʏrː,ˈsekko,pʰikʼwi,mʃräli,ˈsúːx,,,ˈsɛːχ,,ˈtʲɪɾʲəmʲ,ˈse.ku,droːx,sàws,ˈsuxiː,,suˈxʲi,ˈtʃʰiɾəm,,usˈkat,,əˈʃut,t͡ʃʰoɾ,,,,,ˈsuxiː,sɛk,
animal,ˈzvʲɛ.ʐɛ,aˈnɪvai̯l,tiːɐ̯,ɡʲiːˈʋuːnɐs,ʐɨˈvotnəjə,,ˈzo.o,tsχɔvɛli,,,häjväni,dyːr,aniˈmal,tiːr,aniˈmale,tsχɔwɛl,tsχɔvɛli,ʒiˈʋáːw,,jʉːr,ˈlo.ɛ̃n,t͡ʃɔuːr,anʲəvʲiː,ˌɐ.ni.ˈmaw,dir,dzîunìɛks,ˈʒivɔt͡ʃiːx,ʒiˈvɔtno,,,,a.niˈmal,,ə.niˈmal,kɛntʰɑˈni,,ʒiˈvɔtnɔ,,,ˈʒɪvot͡ʃɪx,a.ni.mal,tʋɐˈrɪnɐ
ice,lut,jaː,aɪ̯s,,lʲɵt,,ˈpaɣos,ʔini,,,buzi,iːs,ˈɟ͡ʝelo,iːs,ˈɡjat.t͡ʃo,kʼwärɛm,qʼinuli,ˈléːt,,,,ˈʊiːsʊɹ,əiɾʲ,ˈʒe.lu,ɛi̯s,lædus,ˈʎat,lɛt,lʲot,,ə̟i̯s,,iːs,ˈʒɛl,sɑˈrujt͡sʰ,ˈʃe.ʊ,mras,iːs,,lɛt,ɡlas,
thou,tɨ,tiː,duː,tʊ,tɨ,,,si,,,si,du,ˈtu,θu,t̪u,si,ʃɛn,ˈtíː,,dʉː,,tʰʉuː(w),t̪ˠuː,tu,ɣɛi̯,,ˈti,ti,,hu,,tu,,ˈtu,du,,ti,,,tɪ,ty,ˈtɪ
few,ˈma.wɔ,əˈχədɨ̞ɡ,ˈveːnɪç,,nʲɪˈmnoɡʲɪj,,ˈliɣos,tʃʼitʃʼɛ,,,mtsikʰä,fɔː,,,ˈpɔ.ko,mɔid,tsɔtʼä,mâlo,,foː,,,bʲɔɡ,ˈpow.kuʃ,ˈʋɛi̯nəx,,ˈmaːlo,,,,,puˈt͡sin,,ˈpɔk,kʰitʃʰ,,ˈmaɫku,,,ˈmaːlo,pø,ˈmɑlo
blood,krɛf,ˈɡwaːi̯d,bluːt,krɒ͜úˑjæs,krofʲ,folʲ,ˈema,zisχiri,,blʊt,ditsχiri,bloːd,ˈsanɡɾe,plouːð,ˈsan.ɡwe,zisχ,sisχli,ˈkríː,,,ˈɡwaːt,plɔuːw,fˠɪlʲ,ˈsɐ̃.ɡɨ,blut,asinis,ˈkr̩w,krɤf,,,blut,ˈsɨn.d͡ʒe,bluə̯t,ˈsaŋk,ɑɾˈjun,,kr̩f,bluː,ɟ͡ʝak,krɛv,sɑ̃,ˈkrɔu̯
vomit,vɨ.mʲɔˈtɔ.vat͡ɕ,,ˌyːbɐˈɡeːbən,,blʲɪˈvatʲ,,,rtsʼqʼiälä,,,ɔntʰχɔru,,,ˈaiːla,vomiˈtare,litʼχunɛ,rtsʼqʼɛvä,,,,,,ˈaʃɪɟ,vu.mi.ˈtaɾ,,,,,,,,,,vo.miˈta,,,ˈpɔvraca,,,,vɔ.miʁ,
laugh,ɕmʲat͡ɕ ɕɛ,,ˈlaχn̩,,smʲɪˈjat͡sːə,,,dzitsä,naʋːu,,dzitsini,leː,,ˈl̥aiːja,ˈri.de.re,litswnäl,sitsili,,,,,,ɡɑːɾʲ,ˈʁiɾ,ˈlɑxə(n),,ˈsmi̯ac sa,,,,ɫɐχ,,ˈlai̯tsjə,ˈriw.ɾə,t͡sit͡sɑˈʁɛl,,sɛ ˈsmɛ.ɛ,,cɛʃ,smaːt,ʁiʁ,
scratch,ˈdra.pat͡ɕ,,ˈkʀat͡sn̩,,t͡sɐˈrapətʲ,,ˈksino,tsχäbäruä,,,ɔʁätsʼkʼu,,rasˈkaɾ,,,lipʰχäntʃʼwä,pʰχätʃʼnä,,,,,,,ko.ˈsa(ɻ),,,,,ˈdrapat͡sʲ,,,,,,kʰɛɾˈtsɛl,,,,,,ɡʁa.te,
moon,ˈkɕɛŋ.ʐɨt͡s,ˈɬeɨ̯ad,moːnt,mʲeːˈnʊlʲɪs,lʊˈna,eːs,,tʰutʰä,,,tʰutʰä,,ˈluna,tʰuŋl,ˈlu.na,dɔʃdul,mtʰvärɛ,ˈlùːna,ˈlyno,ˈmoːˌnɛ,,ˈmɔanɪ,ɟəˈl̪ˠɑx,ˈlu.ɐ,maːn,,ˈmɛsi̯at͡s,luˈna,,,,ˈlunə,ˈmwanə,ˈʎu.nə,luˈsin,ˈluɐ,,,hənə,ˈmjɛsiːt͡s,lyn,
wet,ˈmɔ.krɨ,ɡwlɨːb,nas,,ˈmokrɨj,,,ʃɔliri,,,ʃu,vɔːd,moˈxado,ˈvɔːtʏr,baɲˈɲato,məʒir,svɛli,ˈmòːkər,,voːt,,,fʲlʲʊx,muˈʎaðu,nɑt,slapʲʃ,ˈmokriː,,ˈmokrɨ,flux,,ud,,ˈmɔʎ,tʰɑt͡sʰ,,,,,ˈmokriː,mu.je,
give,ˈda.vat͡ɕ,r̥ɔi̯,ˈɡeːbən,ˈduɔtʲɪ,dɐˈvatʲ,,,mɛtʃämä,,,mɛtʃämu,ɡiː,ˈdaɾ,ˈcɛːva,ˈda.re,lihwdi,mitsɛmä,ˈdati,,jeː,ˈrɛĩ,t͡ʃeːʋa,ˈt̪ˠuːɾʲ,ˈdaɾ,ˈɣeːvə(n),duôt,,ˈdavəm,,,,da,jaːn,doˈna,tɑl,,,,,ˈdaːvat,dɔ.ne,
yellow,ˈʐuw.tɨ,ˈmɛlɨ̞n,ɡɛlp,,ˈʐoltɨj,,,ʔvintʰɛli,,,säri,ɡuːl,amaˈɾiʎo,ˈkʏːlʏr,ˈdʒal.lo,qʼwitʰɛl,qʼvitʰɛli,ruˈmɛ́n,,ɡʉːl,,ˈkuːlʊɹ,bˠiː,ɐ.mɐ.ˈɾɛ.lu,ɣeːl,dzæ̀ltæns,ˈʒɫ̩tiː,ʒɤlt,ˈʐou̯tɨ,ˈb̥ujə,χɪə̯l,ˈɡal.ben,,ˈɡɾɔk,dɛˈʁin,,,,,ˈʒlutiː,ʒon,ˈʒɔu̯tei̯
good,ˈdɔ.brɨ,daː,ɡuːt,ˈɡʲæɾɐs,xɐˈroʂɨj,,kaˈlos,dʒgiri,maɲt͡ʃi,ɡʊt,kʼäi,ɡoð,ˈbweno,ˈkouːðʏr,ˈbwɔː.no,χɔtʃä,kʼärgi,ˈdòːbər,,ɡuːd,,ˈkɔuːwʊɹ,mˠa,bõ,ɣut,,ˈdɔbriː,doˈbɤr,ˈdobrɨ,maː,χut,bun,,ˈbɔ,lɑv,ˈbo,,,majɾ,ˈdobriː,bɔ̃,ˈdɔbrɪj
stand,stat͡ɕ,ˈsɛvɨ̞ɬ,ˈʃteː.ən,,stɐˈjætʲ,,ˈstekome,gɛrinä,,,dɔdginu,,,ˈstanta,,lignɛ,dgɔmä,,,,,,ʃasˠ,pɨɾ.mɐ.nɨ.ˈseɾ,staːn,stāːvɛ̂ːt,ˈstaːc,,,,,,ˈsteən,,kɑŋɡˈnɛl,,,,ri,staːt,ɛ.tʁə d(ə).bu,
live,ʐɨt͡ɕ,bɪu̯,ˈleːbən,ɡiˈʋæntɪ,ʐɨtʲ,,ˈzo,rinä,,,skʰidälä,leːvə,biˈbiɾ,ˈlɪːva,ˈvi.ve.re,lidrɛ,tsχɔvrɛbä,ʒiˈʋeːti,,leːva,,,mˠaɾʲ,viˈveɾ,ˈleːvə(n),dzîːvuôt,ˈʒic,ʒiˈvɛjə,,,,trəˈi,ˈlɪbjə,ˈviw.ɾə,ɑpˈɾɛl,,,,jɛˈtɔj,ʒiːt,vivʁ,
eat,,,ˈʔɛsn̩,,jesʲtʲ,,ˈtro̞o̞,tʃʼkʼɔmuä,,,ɔtʃʼkʼɔmu,spiːsə,koˈmeɾ,,manˈdʒa.re,lizwɛb,tʃʼämä,,,ˈɛːˌta,,,ɪ,ko.ˈme(ʁ),,,,,,,,luˈa,,məɲˈʒa,uˈtɛl,,ˈjadɛ,,,jiːst,mɑ̃.ʒe,
they,ˈɔ.ɲi,huːɨ̯,ziː,jæ,ɐˈnʲi,,,tʰinɛpʰi,,,ɛntʰɛpʰɛ,di,ˈeʎos,θeiːr,,ɛdʒær,isini,ˈɔ̀ːni,,dɔm,,tʰaiːɹ,ʃiəd̪ˠ,ˈe.lɨʃ,zɛi̯,,ˈɔɲi,t̪ɛ,,iət̪,,jej,ja,ˈeʎs,nəˈɾɑŋkʰ,,tiɛ,,aˈta,ˈoɲɪ,il,wɔˈnɪ
cut,t͡ɕɔɲt͡ɕ,ˈtɔrɪ,,,ˈrʲezətʲ,,,tʃʼkʼiruä,,,ɔtʃʼkʼiru,skɛːrə,,ˈscɛːra,taʎˈʎare,likʰtʃɛ,tʃʼrä,rézati,,ˈɧæːˌra,,,ɟaːɾˠ,kuɾˈtaɾ,ˈsnɛi̯də(n),ɡrīɛ̄st,ˈrɛzac,,,kʲaːrˠ,,,,təˈʎa,kətˈɾɛl,,,,,ˈr̝ɛzat,ku.pe,
fingernail,pazˈnɔ.kʲɛt͡ɕ,,ˈfɪŋɐnaːɡl̩,,ˈnoɡətʲ,,ˈniçi,birtsχä,ɡoːru,,butsχä,najl,ˈu.ɲa,nœkl,ˈun.ɡja,tsχä,pʰrtʃχili,ˈnóːxt,,,,,,ˈu.ɲɐ,,,ˈɲɛxt,ˈnɔkət,paˈznoɣat͡sʲ,,,,,ˈuŋ.ɡlə,jɛˈʁunɡ,,nɔkt,,,,ɔ̃ɡl,
two,dva,daɨ̯,t͡svaɪ̯,,dva,d̪eː,ˈðiˌo̞,ʒiri,,tsvɛj,ʒur,toː,dos,tʰveiːr,ˈdu.e,jɔri,ɔri,ˈdʋáː,,tvoː,,,d̪ˠoː,ˈdojʃ,tʋeː,,ˈdva.ja,,dva,,tvɪə̯,doj,,ˈdos,jɛɾˈku,,,,dy,dva,dø,ˈdʋɑ
stab,,,ˈʃtɛçn̩,,zɐˈkalɨvətʲ,,,tsikʼäpʰä,,,ɔtsigu,,apuɲaˈlaɾ,,puɲɲaˈlare,liswɛm,rtʃʼɔbä,,,,,,,,ˈsteːkə(n),,,,,,,,,ə.pu.ɲəˈla,χoˈtsʰɛl,,,,,,pwa.ɲaʁ.de,
water,ˈvɔ.da,duːr,ˈva.sɐ,,vɐˈda,ˈuʃtʲə,neˈro,tsʼqʼäri,,,tsʼkʼäri,vand,ˈaɡwa,vaʰtn,,lits,tsʼqʼäli,,,ˈvatːɛn,ˈduːʁ,vaʰtn,ˈɪʃcɪ,,ˈʋaːtər,ûːdɛns,ˈvɔda,,vaˈda,ˈɯʃkʲə,ˈvɑːtər,ˈapə,ˈvɛtər,ˈaj.ɡwə,d͡ʒuɾ,ˈaw.ɡa,,ˈʋɑtn̩,ˈujə,ˈvoda,o,wɔˈdɑ
sew,ʂɨt͡ɕ,,ˈnɛːən,ˈsʲuːtʲɪ,ʂɨtʲ,,,tʃʼälä,,,ɔtʃʼu,syː,ko.ˈser,ˈsøyːma,kuˈtʃire,liʃχbi,kʼɛrvä,,,,,,,,ˈnaːjə(n),ʃūːt,,ˈʃijə,ʂɨt͡sʲ,,,,,kuˈzi,kɑˈɾɛl,,,,,,kudʁ,
warm,ˈt͡ɕɛ.pwɨ,,vaʁm,ˈʃʲɪltɐs,ˈtʲɵplɨj,,ze̞ˈsto̞s,tʼibu,,,tʼibu,,kaˈljente,,ˈkaldo,tʼɛbdi,tʰbili,ˈtɔ̀ːpəw,,varm,,,tʲɛ,,ʋɑr(ə)m,sīlts,ˈcɛpliː,ˈtɔpəl,ˈt͡sʲopɫɨ,,,kald,vaːrm,kəˈlent,d͡ʒɛɾm,ˈkɛnt̪ɪ,,,,ˈtɛpliː,ʃo,
black,ˈt͡ʂar.nɨ,dɨː,ʃvarts,ˈjûə.dɐs,ˈt͡ɕɵrnɨj,,ˈmavros,utʃä,,,utʃä,soɐ̯d̥,ˈneɡɾo,ˈsvar̥tʏr,ˈne.ro,mɛʃχɛ,ʃävi,ˈtʃə̀rn,,svart,ˈdyː,ˈsvaɻ̥ʈʊɹ,d̪ˠʊvˠ,ˈne.ɡɾu,zʋɑrt,mǣlns,ˈt͡ʃi̯er.ni,,ˈt͡ʂornɨ,t̪ʊv,,ˈne.ɡru,,ˈnə.ɡɾə,sɛv,ˈneɣɾʊ,,,zi,ˈt͡ʃɛrniː,nwaʁ,ˈt͡ʃɔrnei̯
throw,ˈʐu.t͡sat͡ɕ,ˈtavlɨ̞,ˈvɛʁfən,ˈmʲɛsʲtʲɪ,brɐˈsatʲ,,,ʔɔtʰämä,,,ɔstʰɔmilu,,,ˈkʰasta,,likʼwänɛ,srɔlä,,,,,kʰasta,kɑh,lɐ̃.ˈsaɾ,ˈʋɛrpə(n),mest,,,,ˈtʃʰilikʲ,,,,ʎənˈsa,nɛˈtɛl,,,,,,ʒə.te,
breast,pʲɛrɕ,brɔn,bʁʊst,,ɡrutʲ,,ˈstiθos,kʼidiri,t͡ʃan̪ːu,,gjɔnkʰsi,brøst,ˈpet͡ʃo,prjoust,ˈse.no,mutʃʼwɛd,mkʼɛrdi,,,,,brœst,,ˈsɐj.u,bɔrst,,ˈpr̩sɲiːk,ɡərˈda,,kʰʲiəx,bɔ(ː)rs,pjept,,ˈpit,kuɾt͡skʰ,,ˈɡrada,,,pr̩s,sɛ̃,
other,ˈin.nɨ,ˈaraɬ,ˈʔandəʀə,,drʊˈɡoj,,,ʃχvä,,,tʃkʰvä,andrə,ˈotɾo,,ˈal.tro,iʃgɛn,sχvä,ˈdrùːɡi,,,ˈalː,,ˈɛlʲə,ˈo(w).tɾu,ˈɑn.dər,,ˈdruɦiː,druk,ˈjinʂɨ,ˈelə,,alt,,,ɑjl,,,,,ˈdruɦiː,otʁ,ˈinʃɪj
far,daˈlɛ.kʲi,pɛɬ,fɛʁn,,dɐˈlʲɵkʲɪj,,makriˈa,ʃɔri,,,mɛndrä,,,,lonˈtano,dʒwɛdiä,ʃɔri,ˈdàːlɛtʃ,,,,,ˈfˠɑd̪ˠə,ˈlõ.ʒɨ,vɛr,tâːls,,dəˈlɛtʃɛn,daˈlʲokʲi,,,deˈpar.te,,ʎuˈɲa,hɛˈru,,,,,ˈdalɛkiː,lwɛ̃.tɛ̃,
walk,iɕt͡ɕ,ˈkɛrðɛd,ˈlaʊ̯fən,ˈɛjːtʲɪ,xɐˈdʲitʲ,,,gilulä,,,gɔlvä,ɡɔː,kamiˈnaɾ,ˈkauŋka,kammiˈnare,lizɛläl,siäruli,,,ɡoː,,,ʃuːlʲ,ɐ̃.ˈdaɾ,ˈloːpə(n),iɛ̂t,ˈiːsc,ˈxɔdʲə,,,lʊəp,ˈmer.d͡ʒe,,kə.miˈna,kʰɑjˈlɛl,,ˈɔdi,,ˈɛtsi,jiːt,maʁ.ʃe,
old,ˈsta.rɨ,heːn,alt,ˈsʲæːnɐs,ˈstarɨj,,,dʒvɛʃi,,,mdʒvɛʃi,ɡaməl,anˈtiɡwo,ˈkaːmatl,ˈvɛk.kjo,dʒwinɛl,dzvɛli,ˈstár,,,,kɛaːmal,ʃanˠ,ˈvɛ.ʎu,ɑu̯t,,ˈstariː,star,staˈrɨ,ʃɛn,œu,vekʲ,ɔːt,ˈveʎ,hin,,,²ɡɑːmɑl,,ˈstariː,vjø,
heavy,ˈt͡ɕɛŋ.ʂkʲi,trʊm,ʃveːɐ̯,sʊŋˈkʊs,tʲɪˈʐolɨj,,,mɔnkʼä,,,mɔnkʼä,tɔnɡ,peˈsado,ˈθuŋkʏr,peˈsante,gwæmi,mdzimɛ,ˈtɛ̀ːʒək,,tɵŋ,,,t̪ˠɾˠuːmˠ,pɨ.ˈza.ðu,zʋaːr,smaks,ˈcaʃ.kiː,ˈtɛʒək,ˈt͡sʲaʂkʲi,,,ɡrew,swiər,,ˈtsɑnəɾ,,ˈtɛʒɔk,tʊŋː,,ˈcɛʃkiː,luʁ,ʋɐˈʒkɪi̯
