word,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
liver,,,,sɪˈbe.tɪ,ˈfe.d͡ʒə,i:ru,tap˦˥,,ˈtʃɛrɛn drɔp,ˈd͡ʒiɡɛr,,,ˈmaːj,i:ɾaɭ,ˈleːʋɛr,,tombe,,,,taɾki,,ˈiɡado,jɐ́.kr̩t̪,,,ha.ti,,ˈjaːtra,,,,ˈfi.ɡɐ.du,kab.ba.da,,,,ka:dʒam,ka̠nd͡ʑa̠ŋ,,,ʔəθɛ́,,ˈɑːvy,taɖing,,ˈmɑksɑ,,,,,,,tap̚˨˩,,,,eːn,kaleja,,eː,,ˈlɪːvʏr,ˈliːvʊɹ,,,,,ˈjèːtra,,,,,taruṅg,,,kaɾadʒiːeɾ,,,dʒagaɾ,,,,vɔnˈtrɔ.ba,ˈpʲet͡ɕɪnʲ,,,bɑˈwɯ̞r,,,,,tʃedɾo,ɣaːn˧˧,tədlə,ˈfeɡato,dʒiɡær,,hīri,,mannə,,tʃχɔntʃχi,ljɑɾtʰ,ˈje.kur,,,ka:lejamu,,īral,aknas,ísiɓîːndi,,ˈleːbɐ,,,ˈliəvɐ,,,,fwa,tap˥,kã̠nd͡zo̞ː,ʁvidzli,leːvər,dʒeɡæɾ,iɮəɡ,ˈpɛtʃɛɲ,,ˈleːvər,,t͡ʃíˈw⁽ᵝ⁾i.ⁿdi,,ˈavɨ̞,tombe,qʼwiʒɛ,t̥ʰloem,,umbalkʰo,,,,,,kuɖa:l,,,,dʒigɛri,,hati,,ˈpʲet͡ʂanʲ
stab,,,,,ə.pu.ɲəˈla,,,,,,,,ˈdøf,,,,,,,,,,apuɲaˈlaɾ,,,,,,,,,,,tˁa.ʕa.na,,,,,,,,tʰó,,,,,,,,,,,,tʰɛːŋ˧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zɐˈkalɨvətʲ,,,,,,,,,ʔɗəm˧˧,,puɲɲaˈlare,,,,,,,tsikʼäpʰä,χoˈtsʰɛl,konˈfo.di.oː,,,,,,,,,ˈʃtɛçn̩,,,,,,,pwa.ɲaʁ.de,,,rtʃʼɔbä,,,,,,ˈsteːkə(n),,,,,,liswɛm,,,,,,,,,,,,,ɔtsigu,,,,
scratch,,,,,,,,,,,,,ˈvɒkɒr,,,,,,,,,,rasˈkaɾ,,,,,,,,,,ko.ˈsa(ɻ),,,,ˈksino,,kɯk̚t͈a̠,,,koʊʔ,,,,,ˈrɑːpi.ɑˣ,,,,,,,kaw˧,,,,,,,,,,,,ãsʊɹ,,,,,,,,,,,,,,,,,,ˈdra.pat͡ɕ,t͡sɐˈrapətʲ,,,,,,,,,ɣaːj˦ˀ˥,,,,,,,,,tsχäbäruä,kʰɛɾˈtsɛl,ˈskal.poː,,,,,,,,,ˈkʀat͡sn̩,,,,,,,ɡʁa.te,,çik̚ka̠kɯ̟ᵝ,pʰχätʃʼnä,,xæɾɒːʃiːˈdæn,,,,,,,,,,lipʰχäntʃʼwä,ʾeḥ,,,,,,,,,,,,ɔʁätsʼkʼu,,,,ˈdrapat͡sʲ
live,,,,,ˈviw.ɾə,,,,ʒiˈvɛjə,,,,ˈeːl,,,leːva,,,,,,,biˈbiɾ,d͡ʑíː.ʋɐ.t̪i,,,hi.dup,,ʒiːt,,,,viˈveɾ,ʕaː.ʃa,,,ˈzo,,ˈsʰa̠ːɭda̠,,,,,,,,ˈe̞læː(ʔ),,ˈea̯lliːh(t),,,,,miː˧.t͡ɕʰiː˧.wit̚˦˥,,,,,,,mˠaɾʲ,,ˈlɪːva,,,,trəˈi,,ʒiˈʋeːti,,,,,,,,,,,,,,d͡ʒina,ʐɨt͡ɕ,ʐɨtʲ,,,,,,,,,səwŋ͡m˧˦,,ˈvi.ve.re,,,,ɛˁːʃ,,,rinä,ɑpˈɾɛl,ˈwiː.woː,,,,,,dzîːvuôt,,,ˈleːbən,jɛˈtɔj,ɡiˈʋæntɪ,ˈliə̯vən,,,,vivʁ,,ikʲiɾɯ̟ᵝ,tsχɔvrɛbä,leːvə,,,ˈʒic,,ˈleːvə(n),,,,bɪu̯,,lidrɛ,nau,ma.ˈbu.hay,,,,,,,,ˈlɪbjə,,,skʰidälä,,hidop,,
know,,ˈzɑːniːn,,,səˈbə,asu:bej,huː˥˧,aɾaʋə,,,,,ˈtud,aṟi,,veːta,aɾi,,,,jeɾpaʈ,,saˈbeɾ,,,,ta.hu,,ˈvjɛɟɛt,,,,sɐ.ˈbeɾ,ʕa.li.ma,,,ˈksɛ.ɾɔ,teluse:,ˈa̠ːɭda̠,,poˈheˈdəl,θḭʃḭ,,,sun,isˈki.ɾe,ˈtie̯tæːˣ,vɪət,,,,,,ruː˦˥,,,,,uɾtanɖa:t,,,vɪsn̩,ˈvɪːta,,,,ʃti,,,,,,,pun,,,bilˈmɛ́c,bilˈmæk,,tʃa:ing,,,ˈd͡ʒɑːn̪.n̪ɑː,ˈvʲɛ.d͡ʑɛt͡ɕ,znatʲ,,,,,,,,ha:hpo,ʔɓiət̚˧˦,gott(ə) uɳɖi,saˈpeː.re,dɔːnistæn,,ari,,teɾijaɾa,,rtʃkʰinä,ɡitɛˈnɑl,ˈski.oː,,,eṟāgu,,aɾajuga,zinâːt,,,ˈvɪsn̩,di,ʒɪˈnoː.tʲɪ,,,,,savwaʁ,ɣo˦˨,,tsɔdnä,,d̪ɒːnesˈt̪ʰæn,mitəx,ˈvɛɟi̯ɛc,ˈjeda,ˈʋeːtə(n),,,,ˈmɛdrɨ̞,aɾiʋo,mäχäl,cer,,akʰna,dʒanːa,,,,,aɾspini,,ˈznɑte,,ɔtʃkʰinu,*ɕes,tahu,,ˈvʲedat͡sʲ
tail,,,,,ˈku.ə,ʋa:lə,,pa:lə,,ˈɔpaʃka,,,ˈfɒrok,ʋa:lə,,svans,ba:lə,,qʊjˈrəq,,tokoɾ,,ˈkola,,,,,,ɔtsas,,,,ˈʁa.bu,ða.nab,,,,toka:ɾ,k͈o̞ɾi,,,ʔəmí,,,kindiɾ,,ˈhæn̪t̪æ,,,,,,,haːŋ˩˩˦,,ˈraβo̝,,,to:ka,,ˈɾˠɨbˠəl̪ˠ,,ˈhaːlɪ,,,nɛz,ˈkʷadə,,ˈrɛ́p,,,,,tōka,,,kujɾuc,ɡujˈruɣ,,liʈʈik,,,pũːt͡ʃʰ,ˈɔ.ɡɔn,xvost,,,qʊ̞j.ˈrʊ̞q,,,,,oli,ʔɗuəj˧˧,ba:lə,ˈkoda,dum,,ba:la,,bi:la,,kʼudɛli,pɔt͡ʃʰ,ˈkau̯.da,,,vālamu,,ʋa:lə,astɛ,úm̩sîːla,,ʃvant͡s,,,,,,,kø,,ɕip̚po̞,kʼudi,haːlə,dæm,,ˈxvɔst,,staːrt,,ˈmt͡ʃí.ɽa,,ˈkənfɔn,ba:lu,hækʼwɛd,kn̥duy,,kʰola,,,,,,po:ɾsam,,,,kʼudɛli,,eko(r),,xvost
worm,,,,,ˈkuk,,,,ˈtʃɛrvɛj,,,,ˈkukɒt͡s,,,,,,,,,,ɡuˈsano,,,,,,ˈt͡ʃɛrf,,,,ˈvɛɾ.mɨ,duː.da,,,sku.ˈli.ci,,,,,tìɡàʊɴ,,pʁɛ̃,,,ˈmɑto,,,tʰɨl,,,,nɔːn˩˩˦,,ˈbɛɾme̝,,beˈʃtʲeːɡ,,,pʲeːʃtʲ,,ˈmaθkʏr,,,,,,ˈtʃə́rw,,,,,,,,,,,,,,kiː.ɽɑː,ˈrɔ.bak,t͡ɕerfʲ,,,qʊ̞rt,,,,,,zun˧˧,,ˈvɛrme,kirm,,,,,,tʃʼiä,vɔɾtʰ,ˈwer.mis,,,,,,,isíɓuːnɡú,,,kɾimb,,muə̯t,,,,vɛʁ,,d͡zẽ̞ɲ̟t͡ɕɨᵝː,tʃʼiä,,,,ˈt͡ʃɛrw,toˈla(ʔ)at,,,,,,,mətʼ,ṭṅ̥kūv,,,kiɽa,,,,,,,,,tsʼitsʼi,,,,
who,,,,,ˈki,da:ɾə,,ta:ɾa,kɔj,kɔj,,,ˈki,jaarə,,,da:ɾə,,,,boɾ,,ˈkjen,kɐ,koː,,,,ɡdo,,,,kẽ(j̃),mann,,daat,,be:nonɖu,nuɡu,,,bəθù,,piv,tukud,,ˈkukɑ,,,,,,,kʰraj˧,,,,,bʰu:mi,,ceː,,xʷɛːr,kvøːr,,,,,ˈɡdòː,,,,,ed,,,cim,kim,,de:ɾ,,,kɔːn,ktɔ,kto,,,kɪ̞m,,,,,ne:du,ʔaːj˧˧,da:ɾə,k̟i,,,ja:ɾu,,je:ɾu,,mi,ɔv,kʷis,,,evaru,,a:ɾə,,úɓaːní,,veːɐ̯,kuʃ,,,,,noː,ki,,tare,vin,vɛm,kʰej,,kto̞,,ʋi,,ˈⁿda.ní,,puːɨ̯,ja:ɾu,jær,ʾ̥nkṇā,,ne,,,,,,oɾi,,ˈxtɔ,,min,*su,siapə,,xto
burn,,,,,,ka:to,,kitʃi:kdə,,ˈɡɔɾi,,,ˈeːɡ,eɾi,,,tʃu:ɖə,,,,niɾus,,aɾˈdeɾ,,ɫ̪ɔʃɡ̊ʲ,,,,ˈɦor̝ɛt,,,,ɐɾˈdeɾ,ħa.ra.qa,,,,maɳɖu,,,,làʊɴ,,,tukud,,ˈpɑlɑː,,,,,,,maj˥˩,,,,,gonɖka,,d̪ˠoːɟ,,ˈprɛnːa,,,zɔ.la,,,,,,,,tūk,,,,,,xa:xaɾ tinning,,,d͡ʒəl.nɑː,ˈpa.lʲit͡ɕ ɕɛ,ɡɐˈrʲetʲ,,,,,,,,me:da,t͡ɕaj˧˦,bja:ɭ,,,,suɖu,,pottaʋaɾa,,tʃʼuälä,ajɾˈvɛl,ˈaːr.de.oː,,,ka:lu,,katikkuga,dekt,,,ˈbʀɛnən,,,,,,,bʁy.le,,moju,tsʼvä,,suːxˈtæn,,,,ˈbrɑndə(n),,,,ˈɬɔsɡɪ,tʃu:ɖə,liʃχi,ṭut,,olna,dʒəlna,,,,,ti:kku ka:ttiti,,,,ɔtʃʼu,,,,ɣaˈret͡sʲ
human,,,,,uˈma,,,,,,,,ˈɛmbɛri,,,²mɛnsklɪ(ɡ),,,,,,,uˈma.no,mɑː.n̪ɐ.ʋɐ́,,,,,ˈlɪtskiː,,,,u.ˈmɐ.nu,ba.ʃa.rijj,,,,,ˈsʰa̠ːɾa̠m,,,,,,,,ˈinɦimilːinen,,,,,,,,,,,,,,,,,,,ma.nuʱ,o.meˈnesk,,tʃlɔˈʋèːʃki,,,,,,,,,,,,,,,ˈlut͡s.kʲi,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,,,,,,,,,,,,,,,,,,kʼɔtʃi,mɑɾtʰkɑˈjin,,,,,,,,,,mɛnʃlɪç,,,,,,,y.mɛ̃,,⟨pi1to2⟩,ädämiäni,,,,,,,,,,,,ämswäld,,,,,,,,,,,,,kʼɔtʃi,,,,
hear,,ˈbiːstɯn,,,sənˈti,ke:lə,,ke:pə,ˈtʃuvəm,,,,ˈhɒlː,ke:ɭə,,,ke:ɭə,,,,kendʒ,,oˈiɾ,,,,də.ŋar,,ˈslɪʃɛt,,,,owˈviɾ,sa.mi.ʕa,,,aˈkuo,ke:dʒa,tɯt̚t͈a̠,,awraˈwəl,t͡ɕá,,,tukud,,ˈkuːlːɑˣ,,,,,,,daːj˥˩.jin˧,,ɔˈiɾ,,,ʋinti,ʃonɑ,klˠɔʃ,,ˈheiːra,,,xu.na,,,,,,,,ven,,,,,,bining,,,sʊn.nɑː,ˈswɨ.ʂɛt͡ɕ,ˈslɨʂətʲ,,,,,,,,me:na,ŋɛ˧˧,kə:ɭ,,ʃunidan,,ke:ɭu,ˈsɐmɐ,keɳaɾa,,rtʃkʰilä,ləˈsɛl,ˈau̯.di.oː,,,ʋinu,,kelkuga,dzìɾdɛ̂ːt,,,ˈhøːrən,,,ˈhei̯ʀen,,,,ɑ̃.tɑ̃dʁ,,kʲi̥kɯ̟ᵝ,smɛnä,høːrə,ʃeniˈdæn,,,ˈʃema,ˈɦoːrə(n),,,,ˈkləu̯ɛd,ke:ɭu,səmæn,ḹ,,menna,,,,,,ke:l,ˈjɛ(ː)rə,ˈt͡ʃute,,ɔʃkʼinu,,dəŋa(r),,
dry,,,,,əˈʃut,kanʈiko,,oɳikiladə,,,,,ˈsaːrɒz,ularnta,,,oɳangina,,,,ʋaʈʈa,,ˈseko,ɕúʂ.kɐ,ˈtʃʰiɾəm,,,,ˈsuxiː,,,,ˈse.ku,d͡ʒaːff,,,,aɾta:d,ma̠ɾɯda̠,,,t͡ɕʰaʊʔ,,ˈsɛːχ,tukud,,,,,,,,,hɛːŋ˥˩,,,,,a:tiɾ,,ˈtʲɪɾʲəmʲ,,θʏrː,,,xu.kan,usˈkat,,ˈsúːx,,,,,tūk,,,,,,ba:ɾun,,,suː.kʰɑː,ˈsu.xɨ,sʊˈxoj,,,qʊ̞ˈrʊ̞,,,,,a:ika:,xo˧˧,ajngənu ipədə,ˈsekko,,,battida,,nunguduna,,skʰiru,t͡ʃʰoɾ,ˈsik.kus,,,eɳɖu,,varaṇṭa,sàws,,,ˈtʁɔkən,,,ˈdʀeχen,,,,sɛk,ɣeːŋ˦˨,ka̠ɰᵝa̠kɯ̟ᵝ,mʃräli,tœːr,xoʃk,,ˈsuxiː,,droːx,,,,sɨːχ,unaku,pʰikʼwi,s̥ṅuat,,kʰajka,suːkʰa,,,,,oɳikisi,,,,χɔmulä,*skam.po,,,suˈxʲi
fish,,ˈmɑːsiː,,tɬʰa.pi,ˈpeʃ,mi:nə,pa᷅ː,mi:nə,ˈribə,,,,ˈhɒl,mi:nə,,fɪsk,mi:nə,,bɑˈləq,,mi:n,jɘk,ˈpeθ,mɐ́t̪.s̪jɐ,,,,,ˈrɪba,,,,ˈpɐjʃɨ,ˈsamaka,,,ˈp͡sari,ki:ke,muɭk͈o̞ɡi,,kab,ŋá,,,mi:n,,ˈkɑlɑ,fəs,ˈkuo̯lliː,,,,ˈa.raiɲ,plaː˧,,ˈpejʃe̝,,jiːst,guɖɖi,mɑtʃʰ,iəsˠk,fɪʃ,ˈfɪskʏr,ˈfɪskʊɹ,,mas,ˈpeʃte,,ˈrìːba,,,,hɯ˧,key,,,bɑ.ˈɫɯk,,,matʃtʃi:,,,mət͡ʃʰ.liː,ˈrɨ.ba,ˈrɨbə,,mət.t͡ʃʰiː,bɑˈɫɯ̞q,,,,,mi:ndu,kaː˧˦,mi:nu,ˈpeʃːe,mɔːhiː,,mi:nə,,mi:nə,,tʃχɔmi,d͡zuk,ˈpis.kis,,dʒɛ́ɡɛɛ̀,tʃe:pa,,mi:n,ziws,ínɬaːnzi,,fɪʃ,pɛʃk,,feʃ,,,ðàmákì(ꜜ),pwa.sɔ̃,pʲa˨˦,uwo,tʰɛvzi,fesk,mɒːhiː,t͡saɢəs,ˈriba,daɡ,vɪs,,ˈⁿsó.ᵐba,,pəsˈɡɔdɨ̯n,mi:nə,tsuz,t̥rī,,indʒo,,,,,,mi:n,fɪsk,ˈrɪbɐ,,tʃχɔmi,*ȵa,ikan,,ˈrɨba
rub,,,,,fɾəˈɡa,,,,,,,,ˈdørʒøl,,,,,,,,,,,,,,,,tr̝̊iːt,,,,ˌes.fɾe.ˈɡa(ɻ),,,,triˈvo,,pibida̠,,,pʊʔ,,,,,ˈhieroɑ(ʔ),,,,,,,kʰat̚˨˩,,,,,,,ˈkɪmʲɪlʲ,,,,,ɡʱɔɦa,freˈka,,,,,,,,,,,,,,,,rəɡəɽna,tʂɛt͡ɕ,tʲɪˈrʲetʲ,,,,,,,,,tʰwaː˧˧,,strofiˈnare,,,,ˈɔˁːrɔk,,,tʃirkʰɔli,,ˈfri.koː,,,,,,,,,ˈʀaɪ̯bnˌ,fəɾˈkɔj,,ˈʀɑɪvən,,,,fʁɔ.te,,,χäχuni,,mɒːliːˈd̪æn,,,,ˈvrɛi̯və(n),,,,,,liχdʒənɛ,,,,,,,,,,,ˈtɛrte,,ɔkʰurtʃɔlu,,,,
with,,,,,əmb,,,,sɤ,,,,vɒl,,meː,meː(d),,,,,,,kon,,,,də.ŋan,,s,,,,kõ,ma.ʕa,,,me̞,,wa̠,,,n̥ɪ̰ɴ,,,,,,,,,joq,,,kap̚˨˩,,ko̝ŋ,,,,ˈʃɔŋɡe,lʲɛ,,,viː,,xoɪ.tɛ,ku,,s,,avu,,,,,,dolajɯˈsijla,iˈlæ,,,meː,,sɑːt̪ʰ,s,s,,,,,,,,,vəːj˧˦,,kon,bɔː,,,,,,tsʼkʼɛlä,hɛt,kum,,,,,,,,,mɪt,mɛ,sʊ,mɑt,,,,a.vɛk,,to̞,tʰän,mɛd,bɒː,,s,am,mɛt,,,,a,,tsäχæn,,,,,,,,,,,z,,kʼälä,,də.ŋan,,
old,,ˈkɛvn,,,ˈveʎ,,kau˧˧,,star,,,,ˈreːɡi,,²ɡɑːmɑl,,,,,,,,anˈtiɡwo,,ʃɛn,,la.ma,,ˈstariː,,,,ˈvɛ.ʎu,qa.diːm,,,,,na̠k̚t͈a̠,,,háʊɴ,,,,,,œu,,,,,,kaw˨˩,,,,,,,ʃanˠ,,ˈkaːmatl,kɛaːmal,,pu.ɹɔ.na,vekʲ,,ˈstár,,,,,,,,,æsˈki,,,,,pʊ.ɾɑː.nɑː,ˈsta.rɨ,ˈstarɨj,,,iθˈkɪ̞,,,,,,ku˦ˀ˥,,ˈvɛk.kjo,,,,ʔɐˈdiːm,,,dʒvɛʃi,hin,ˈwe.tus,ˈvɑnɑ,,,,,,,,alt,,ˈsʲæːnɐs,,,,,vjø,,,dzvɛli,ɡaməl,ɢæd̪iːˈmiː,,ˈstariː,,ɑu̯t,,,,heːn,,dʒwinɛl,cās´,ˈlu.maʔ,,,,,,,,ɔːt,,,mdʒvɛʃi,*rȵiŋ.pa,,,staˈrɨ
and,,ˈuː,,,ˈi,,lɛʔ˦,,i,i,,,ˈeːʃ,,oː,ɔ,,,,,,,ʝ,t͡ɕɐ,,,dan,,a,,,,ˈɛ,waːw,,,ce̞,,wa̠,,aw,nɛ̰,,,,,ˈjɑ,ɛn,ˈja,,,,,lɛʔ˦˥,,,,,,,ˈɑɡəsˠ,ʊn,ɔːɣ,oː,,a.ɹu,ʃi,,in,,,tʰɑ˩,,,,,ve,,,,ɔ,,ɔːɾ,i,i,,,hæm,,,,,,vaː˨˩,,e,,,,,,,dɔ,ɛv,et,,,,,,ùn,nʱa,,ʊnt,ðɛ,,an,,,,e,ɕau˧˥,to̞,dä,ˈɒw,o,,,,ɛn,aɳi,,,,,i,nẏṅ,at,,,,,nɑ,taˈda,,ɛn,ˈi,,dɔ,*daŋ,dan,,i
animal,,,,,ə.niˈmal,,sat˦˥,,ʒiˈvɔtno,ʒiˈvɔtnɔ,,,ˈaːlːɒt,,,jʉːr,,,,,,,aniˈmal,pɐ́.ɕu,,,,,ˈʒɪvot͡ʃɪx,,,,ˌɐ.ni.ˈmaw,ħa.ja.waːn,,,ˈzo.o,,ˈto̞ːŋmuɭ,,,təɹeɪʔsʰàɴ,,ˈlo.ɛ̃n,,,ˈe̞læ͡in,,,,,,,sat̚˨˩,,,,,,,anʲəvʲiː,,tiːr,t͡ʃɔuːr,,,a.niˈmal,,ʒiˈʋáːw,,,,,,,,hajˈvan,,,,,,pə.ʃuː,ˈzvʲɛ.ʐɛ,ʐɨˈvotnəjə,,,χɑjˈwɑn,,,,,,tʰu˧˦ vət̚˧˨ʔ,,aniˈmale,,,,,,,tsχɔvɛli,kɛntʰɑˈni,ˈa.ni.mal,ˈloːm,,,,,dzîunìɛks,isílwaːne,,tiːɐ̯,,ɡʲiːˈʋuːnɐs,dei̯(e)ʀ,,,,a.ni.mal,,do̞ːbɯ̟ᵝt͡sɨᵝ,tsχɔvɛli,dyːr,dʒɒːnˈvæɾ,,ˈʒivɔt͡ʃiːx,,dir,,ˈɲa.ma,,aˈnɪvai̯l,,tsχɔwɛl,st̥v,,,,,,,,,,tʋɐˈrɪnɐ,,häjväni,*sems.t͡ɕan,binataŋ,,
big,,,,,ˈɡɾan,toɖut,,doɖɖadə,,ˈɡɔlɛm,,,ˈfɛlnøːtː,peɾija,,ˈvɵkˌsɛn,baljadə,,,,pedda,,maˈɟ͡ʝoɾ,,,,,,,,,,mɐjˈɔɾ,ka.biːr,,be:ɾ,,beɾɾa,ˈɘːɾɯn,,ɣaʈ,,,,muɾe,,,,,,,,,,,,,,bʰu:mi,,,,,,,daŋɔɹ,,,,,,,,berto,,,,,,ballun,,,,dɔˈrɔ.swɨ,bɐlʲˈʂoj,,,,,,,,be:ɖo,,dappu,ˈɡran.de,,,doɖɖadu,,malla,,didi,mɛt͡s,,,,pedda,,ʋaludə,,,,ɡʁoːs,,,,,,,ɡʁɑ̃,,o̞to̞na̠,didi,,,,,ɡaˈdɔl,,,,,,baleji,χɔʃä,,,koha,,,,,,ittu:ɖə,,ʋeˈlɪkei̯,,didi,,,,
smooth,,,,,,,,,,,,,ˈʃimɒ,,,,,,,,,,ˈliso,,miːn,,,,ˈɦlatkiː,,,,ˈli.zu,naː.ʕim,,,,,me̞k͈ɯɾʌ̹p̚t͈a̠,,,t͡ɕʰɔ́,,,,,,,,,,,,ria̯p̚˥˩,,,,,,,kiːnʲ,,ˈstljɛhtʏr,,,,ˈne.ted,,,,,,,,,,,,,,,,t͡ʃɪk.nɑː,ˈɡwat.kʲi,ˈɡlatkʲɪj,,,,,,,,,faŋ˧˩,,ˈliʃʃo,,,,,,,värkʼälä,hɑɾtʰ,ˈɡla.ber,,,,,,,,,ɡlat,,,ɡlaːt,,,,lis,,,pʼriälä,,,,,,ɣlɑt,,,,,,mərkʼənɛ,,,,,,,,,,,,,pʰrändɛri,,,,ˈɣɫatkʲi
horn,,,,,ˈba.ɲə,bʰulo:gam,kʰao˩˨,kombə,,,,,ˈsɒrv,kombə,hʊrn,,kombə,,,,koɾ,,ˈkwerno,ɕr̩ŋ.ɡɐ́,,,,,ˈrox,,,,ˈʃi.fɾɨ,qarn,,,,komm,p͈uɭ,,,d͡ʑò,,,kaɾ gutʃul,,,,ˈt͡ʃoɑ̯rːviː,,,,,kʰaw˩˩˦,,ˈkɔɾno̝,,,kommu,,əiɾˠk,,hɔrtn,hɔtn,,xiŋ,korn,,ˈróːk,,,,,tūk,,,,bujnuz,,maɾgʰ,,,siːŋɡ,ruk,rok,,,mʏ̞ˈɡʏ̞ð,,,,,maɾgadu,sɨŋ˨˩,kombbə,ˈkɔr.no,ʃɔːx,,kombu,,kombu,,kʰä,jɛʁd͡ʒˈjuɾ,ˈkor.nuː,,,kommu,,kompə,ɾaks,úːpʰoːndo,,hɔrn,,ˈrä̌ːɡɐs̪,,,,ɾòheǎ,kɔʁn,,ka̠do̞,rkʰä,,ʃɒx,ewər,ˈrɔx,,ɦoːrn,,,,kɔrn,kombə,mitʃʼw,s̥naeṅ,,maɾag,sĩɡ,,,,,ku:ɾ,,,,kʰrä,,,,
knee,,,,,ʒəˈnoʎ,mo:ga:l,,muʈʈi,koˈlʲano,,,,ˈteːrd,muḻaṅkāl,,,maɳɖi,,,,tongɾa,,roˈdiʎa,d͡ʑɑ́ː.n̪u,,,,,ˈkolɛno,,,,ʒu.ˈe.ʎu,ruk.ba,,mendaja,ˈɣɔnatɔ,mo:ka:l,muɾɯp̚,,,dú,,ˈɡliːn,ʋangul,,ˈpolʋi,,,,,,,kʰaw˨˩,,ʃeˈonʎo̝,,ɡlʲuːnʲ,muɖsu,ˈɦaʈu,ɡl̪ˠuːnʲ,knɪ,n̥jɛː,knɛaː,djiˈnɔtju,atʰu,dʒeˈnunkʲ,,kɔˈlèːnɔ,,,,,tūk,,(d)ʒeˈnul,,,,go:ɖ,,,ɡʱʊʈ.nɑː,kɔˈla.nɔ,kɐˈlʲenə,,,tuˈβɯ̞q,tiz,,,d̪ɯːð,mu:ka,ʔɗəw˨˩ ɣoj˧˦,mannga:lə,dʒiˈnɔkkjo,zɔːnu,,muṇakālo,,meɳaka:ləganʈu,,birguli,t͡suŋk,ˈɡe.nuː,,,mo:ka:lu,,muḻaṅkāl,tsɛlis,íːdoːlo,,kniː,,ˈkʲæ̌ːlʲɪs,knɜɪ̯,,,,ʒə.nu,,çiza̠,muχli,,zɒːˈnuː,owtəɡ,ˈkɔlɛnɔ,,kni,,ˈɓó.ⁿdo,íd̥o̤ːlo,,mu:leka:lə,kʰutʰul,jṅ̥gṅ´,,muka,,,,,,muʈʈi,,,,burgili,,lutot,,kaˈlʲena
stick,,,,,,,,,ˈprɤtʃkə,stap,,,ˈbot,,çɛp,ɕɛp,,,,,,,,,,,,,ɦuːl,,,,ˈpaʊ,ʕa.sˁan,,,,,mak̚d̬ɛːɡi,,,doʊʔ,,,,,ˈke̞pːi,,,,,,,dun˥˩,,,,,,,ˈbˠat̪ˠə,,ˈstaːvʏr,,,,,,,,,,,,,,tʃubuk,,,,çɛp,,t͡ʃʰə.ɽiː,kʲij,ˈpalkə,,,tɑ.ˈjɑq,,,,,,ɣəj˧˨ʔ,,basˈtone,tʃɵb,,,,,,bigä,pʰɑjt,ˈba.ku.lum,,,,,,,índuːɠu,,ʃtaːp,,lɐzˈdɐ,,,,,bɑ.tɔ̃,,,dʒɔχi,kɛp,t͡ʃoːb,,,,,,,,,,pʰäu,ṭṃpṅ,,,,,,,,,,,,bigä,,bataŋ,,
foot,,ˈpiː,,,ˈpɛw,tapaɖ,,anga:lə,stəˈpalo,,,,ˈlaːb,aɖi,fuːt,fuːt,anga:l,,,,ka:l,,pje,pɐ́d̪,kʰas,,,,ˈnoɦa,,,,ˈpɛ,ra.d͡ʒi.la,,pa:dami,ˈpoði,aɖugu,pa̠ɭ,troːz,,t͡ɕʰè/,,,pa:dam,,ˈjɑlkɑ,,,,,,,tʰaːw˦˥,,ˈpɛ,,,dʒeʈʈa,,kɔsˠ,fʊs,,ˈfɔuːtʊɹ,,,piˈt͡ʃjor,,stɔˈpàːlɔ,,,,,tūk,,pɛ,ɑˈjɑk,ɑˈjɑχ,,nat,,,pɛːɾ,ˈstɔ.pa,nɐˈɡa,,pɛːɾ,,,,,,ɾaɖadu,ʔɓaːn˨˩ t͡ɕən˧˧,ka:lə,ˈpjɛde,pɔːj,,aḍi,,ka:lə,,närtʃäkʼutʃχi,vɔtkʰ,peːs,,,aɖugu,,aṭi,,úːɲaːwo,,fuːs,kəm.bə,,fou̯s,,,,pje,tin˨˦,a̠ɕi,tʼɛrpʰi,foːd,pɒː,,ˈnɔɦa,ˈʁɛɡɛl,vut,,ˈpʰa.zí,,troːɨ̯d,ka:lə,lägæäm,joeṅ,,kʰeɖ,,,,,,ko:l,,,,tʼäbu,,kaki,,naˈɣa
