word,de,nl,af,en,yi,fy,no,sv,da,is,fo,lv,lt,pl,cs,sk,sl,bg,mk,be,uk,ru,pt,gl,es,ca,oc,fr,it,ro,ga,cy,br,gd,gv,sq,hy,el,ka,xmf,lzz,sva,te
forest,valt,ʋɑu̯t,bɔs,ˈfɒɹɪst,,,,skuːɡ,,ˈskouːʏr,,,ˈmɪʂ.kɐs,las,lɛs,ˈlɛs,ˈɡɔ́st,ɡoˈra,ˈʃuma,lʲes,,lʲes,floˈɾɛs.ta,ˈbɔske,ˈboske,ˈbɔsk,,fɔ.ʁɛ,,pə.ˈdu.ɾe,kiːlʲ,ˈkɔɨ̯dwɪɡ,ˈkwɑːt,ˈkʰɤʎə,kiːlʲ,pyɫ,ɑnˈtɑr,ˈðasɔs,tʼqʼɛ,tʼqʼä,gɛrmä,tsχɛkʼ,
stick,ʃtaːp,,,stɪk,,,,ɕɛp,kɛp,ˈstaːvʏr,,,lɐzˈdɐ,kʲij,ɦuːl,,,ˈprɤtʃkə,stap,,,ˈpalkə,ˈpaʊ,,,,,bɑ.tɔ̃,basˈtone,,ˈbˠat̪ˠə,,,,,,pʰɑjt,,dʒɔχi,bigä,bigä,pʰäu,
fruit,fʁʊxt,vrʏxt,,fɹuːt,fʁʊχt,,,ˈfrɵkt,frɔɡt,ˈauːvœxstʏr,,âwɡlis,ˈvai̯sʲʊs,ˈɔ.vɔt͡s,ˈovot͡sɛ,ˈɔvɔt͡si̯ɛ,ˈsáːdɛʃ,plɔt,,,,plot,ˈfɾu.ta,ˈfɾojta̝,ˈfɾuta,,,fʁɥi,ˈfru.tːo,,ˈt̪ˠɔɾˠə,fruːɨ̯θ,fʁwɛs,,meːs,,pəˈtuʁ,,χili,χili,χilä,χil,paɳɖu
seed,ˈzaːmən,zaːt,,siːd,ˈzɔɪ̯mn̩,,frøː,,sɛːd,fraiː,fɹɛaː,,ˈsʲeːklɐ,naˈɕɛ.ɲɛ,ˈsɛmɛno,ˈsɛmɛnɔ,ˈsèːmɛ,ˈsɛmɛ,,naˈsʲenʲːe,ˈsʲimjɐ,ˈsʲemʲə,sɨˈmẽtɨ,seˈmɛnte̝,,ʎəˈvo,,sə.mɑ̃s,ˈseme,səˈmɨntsə,ʃiːl,haːd,,,,ˈfaːɾ,sɛɾm,ˈspo̞ro̞s,tʰɛsli,tʰäsi,tʰäsi,læʃi,
leaf,blat,blɑt,blɑːr,liːf,blat,,,,blad,løyːv,blɛaː,,,lʲiɕt͡ɕ,ˈlɪst,ˈlist,ˈlíːst,,,lʲist,,lʲist,ˈfo.ʎɐ,ˈfo.ʎɐ,ˈoxa,ˈfu.ʎə,ˈfɥɛʎo,fœj,ˈfɔʎʎa,ˈfrun.zə,ˈdʲɪloːɡ,ˈdei̯lɛn,ˈde.ljɛ̃n,,ˈd̪olʲaɡ,,tɛˈɾɛv,ˈfilo̞,pʰɔtʰɔli,pʰurtsɛli,pʰävri,bälɛ,aːku
root,ˈvʊʁt͡sl̩,ˈʋɔr.təl,,ɹuːt,,,ruːt,,roːd,rouːt,ɹɔuːt,,ʃɐkʲˈn̪ʲɪs̪,ˈkɔ.ʐɛɲ,ˈkor̝ɛn,ˈkɔrɛɲ,kɔrɛˈnìːna,ˈkɔrɛn,,ˈkoranʲ,ˈkɔrʲinʲ,ˈkorʲɪnʲ,ʁa.ˈis,raˈiθ,raˈiθ,əˈrɛl,rraˈis,ʁa.sin,raˈditʃe,,fʲɾʲeːvˠ,ɡwrai̯ð,,,,rəːɲ,ɑɾˈmɑt,,pʰɛsvi,dʒindʒi,dʒidʒi,tsʼusχund,ʋeːru
bark,ˈbɔʁkə,sxɔrs,bɑs,bɑːk,,,,,bark,ˈpœr̥kʏr,ˈpœɹ̥kʊɹ,,ʒʲɪəˈvʲěː,ˈkɔ.ra,ˈkuːra,ˈku̯o.ra,ˈlùːbjɛ,koˈra,,kaˈra,,kɐˈra,,,korˈteθa,əsˈkɔɾ.sə,,e.kɔʁs,korˈtettʃa,,ɾˠuːsˠk,ˈr̥ɪskl̩,,,ruːs,,kɛˈʁɛv,,kʰɛrkʰi,tʼqʼɛbi,tʼkʼɛbi,tʼɛpʰ,
flower,ˈblyːtə,blum,,ˈflaʊ.ə,blʊm,blom,bluːm,blʊ.ma,,plouːm,ˈblɔuma,,,kfʲat,ˈkvjɛt,ˈkvɛt,ˈtsʋéːt,t͡svʲat,,,ˈkʋʲitkɐ,t͡svʲɪˈtok,ˈfloʁ,,ˈfloɾ,ˈflɔ,,flœʁ,,flo̯are,bˠl̪ˠɑː,ˈblɔdɨ̞n,blœ̃w,,,ˈlulɛ,t͡sɑˈʁik,ˈanθɔs,qʼvävili,pʼɛuli,pʰukʰiri,muʁwæ,puʋːu
grass,ɡʁaːs,ɣrɑs,,ɡɹɑːs,ɡʁɔz,ɣɛːs,ɡrɑːs,,,kraːs,kɹɛaːs,,ʒoˈlʲeː,ˈtra.va,ˈtraːva,ˈtraːva,ˈtràːʋa,trɛˈva,,,,trɐˈva,ˈɡɾɐ̃mɐ,ˈɛɾβa̝,ˈpas.to,ˈeɾ.bə,ˈɛrβo,ɛʁb,ˈɛrba,ˈjar.bə,fʲeːɾˠ,ˈɡlaswɛɬd,ˈɡɛwt,ˈfiəɾ,feːə,baɾ,χɔt,,bäläχi,tʼqʼä,tʼkʼä,mɛl,ɡaɖːi
rope,zaɪ̯l,,,ɹəʊp,,,,,tɔv,ˈreiːpɪ,,àwkla,,ˈlʲi.na,,ˈɫanɔ,,vəˈʒɛ,ˈjaʒɛ,vʲaˈrou̯ka,,vʲɪˈrʲɵfkə,ˈkɔɾ.dɐ,,ˈkwerda,ˈkɔɾ.də,,kɔʁd,ˈkɔrda,,tʲiad̪ˠ,r̥aːf,kɔrdɛn,,,liˈtaɾ,pɑˈɾɑn,,tʰɔkʼi,tʰɔkʼi,tʰɔkʼi,tʰækʼw,
skin,haʊt,ɦœy̯t,,skɪn,heɪt,,,hʉːd,,huːð,,âːda,ˈôːd̪ɐ,ˈsku.ra,ˈkuːʒɛ,ˈkɔʒa,ˈkòːʒa,ˈkɔʒə,,ˈskura,,ˈkoʐə,ˈpɛ.lɨ,,,ˈpeʎ,pɛl,po,ˈpɛlle,ˈpjele,ˈkɾˠacən̪ˠ,kroːɨ̯n,ˈkʁoːχɛn,,ˈkraːɣən,ləkuɹə,mɑʃk,ˈðɛɾma,kʼäni,tʼqʼɛbi,tʼkʼɛbi,kʼæn,tʃarmamu
meat,flaɪ̯ʃ,vleːs,fləis,miːt,flɛɪʃ,flai̯s,çøːt,ɕœtː,,kʰjœːt,t͡ʃʰøːʰt,ɡaʎa,,ˈmʲɛ̃.sɔ,ˈmaso,ˈmæso,mɛˈsóː,mɛˈsɔ,,ˈmʲasa,ˈmjɑsɔ,ˈmʲasə,ˈkaɻ.ne,,ˈkarne,ˈkaɾn,,vjɑ̃d,ˈkar.ne,ˈkarne,fʲoːlʲ,kiːɡ,,,feːlʲ,miʃ,mis,ˈkre̞as,χɔrtsi,χɔrtsi,χɔrtsi,lɛʁw,
blood,bluːt,blut,blut,blʌd,blʊt,bluə̯t,bluː,,bloːd,plouːð,plɔuːw,asinis,krɒ͜úˑjæs,krɛf,krɛv,ˈkr̩w,ˈkríː,krɤf,kr̩f,,ˈkrɔu̯,krofʲ,ˈsɐ̃.ɡɨ,,ˈsanɡɾe,ˈsaŋk,,sɑ̃,ˈsan.ɡwe,ˈsɨn.d͡ʒe,fˠɪlʲ,ˈɡwaːi̯d,ˈɡwaːt,,folʲ,ɟ͡ʝak,ɑɾˈjun,ˈema,sisχli,zisχiri,ditsχiri,zisχ,
bone,ˈknɔχn,beːn,,boʊn,,,bæɪn,ˈbeːn,knɔɡlə,ˈpeiːn,bain,,ˈkä̂ˑʊ̯ɫɐs̪,kɔɕt͡ɕ,kost,ˈkɔsc,ˈkóːst,kɔst,,kosʲt͡sʲ,,kosʲtʲ,ˈo.su,ˈɔso̝,ˈweso,ˈɔs,ˈɔs,ɔs,ˈɔsso,os,knɑːvʲ,,ˈas.kɔrn,,kreːw,,vɔsˈkɔɾ,o̞ˈsto̞,dzväli,dzväli,qʼvili,dʒidʒw,
fat,fɛt,vɛt,,fæt,,,,fɛt,fet,ˈfɪːta,ˈfiːtɪ,,rʲɪəbɐˈlɐɪ̯ˑ,twuʂt͡ʂ,,tuk,,,,,,ʐɨr,ɡoɹ.ˈdu.ɾa,,ˈɡɾasa,,,ɡʁɛs,ˈɡras.so,,sˠail̠ʲ,ˈbrastɛr,,,,,t͡ʃɑɾp,ˈli.pos,tsχimi,gägäbi,jäʁi,mətʃχim,koʋːu
egg,aɪ̯,ɛi̯,ˈəiər,ɛɡ,,aːi̯,ɛɡː,ɛɡː,ɛːɡ,ˈɛkː,ɛkː,uōla,,ˈja.jɔ,ˈvɛjt͡sɛ,ˈvajt͡sɛ,ˈjàːjtsɛ,jəiˈt͡sɛ,ˈjajt͡sɛ,ˈjajka,,(j)ɪjˈt͡so,ˈo.vu,ˈɔ.βʊ,ˈwebo,ˈɔw,,œf,ˈwɔ.vo,ow,uː,uːɨ̯,,u,au,,d͡zu,ta.oˈa,kʼvɛrtsχi,märkʰväli,mäkʰväli,ləgrɛ,ɡuɖːu
horn,hɔrn,ɦoːrn,,hɔːn,,,hʊrn,,,hɔrtn,hɔtn,ɾaks,ˈrä̌ːɡɐs̪,ruk,ˈrox,ˈrɔx,ˈróːk,,,,,rok,ˈʃi.fɾɨ,ˈkɔɾno̝,ˈkwerno,ˈba.ɲə,,kɔʁn,ˈkɔr.no,korn,əiɾˠk,kɔrn,,,,,jɛʁd͡ʒˈjuɾ,,rkʰä,kʰä,kʰrä,mitʃʼw,
tail,ʃvant͡s,staːrt,,teɪl,,,,svans,haːlə,ˈhaːlɪ,,astɛ,,ˈɔ.ɡɔn,ɔtsas,ˈxvɔst,ˈrɛ́p,,ˈɔpaʃka,xvost,,xvost,ˈʁa.bu,ˈraβo̝,ˈkola,ˈku.ə,,kø,ˈkoda,ˈkʷadə,ˈɾˠɨbˠəl̪ˠ,ˈkənfɔn,,,,,pɔt͡ʃʰ,,kʼudi,kʼudɛli,kʼudɛli,hækʼwɛd,
feather,ˈfeːdəʁ,veːr,,ˈfɛð.ə(ɹ),,,fjøːr,,fjeːr,fjœːðʏr,ˈfjøːvʊɹ,spālva,,ˈpʲu.rɔ,ˈpɛːro,,pɛˈróː,,,,peˈrɔ,pʲɪˈro,,ˈplumɐ,ˈpluma,,,plym,ˈpjuma,fulɡ,ˈclʲɛtʲə,plɨː,,,,,pʰɛˈtuɾ,,bumbuli,burdʁä,bundʁä,pʼintʼqʼil,iːka
hair,haːɐ̯,ɦaːr,,hɛə,hɔʁ,,hoːr,hoːr,,hauːr,hɔaːɹ,mats,,ˈvwɔ.sɨ,ˈvlasɪ,,ˈláːs,koˈsa,ˈkɔsa,ˈvoɫas,wɔˈlɔsʲːɐ,ˈvoləsɨ,kɐ.ˈβe.lu,kaˈβ̞elʊ,kaˈbeʎo,kəˈbəʎ,,ʃə.vø,,,ɡɾˠuəɟ,ɡwaːɬd,,,,ˈcimɛ,,,tʰmä,tʰumä,tʰɔmä,pʰätʰw,
head,kɔpf,ɦoːft,,hɛd,,ˈholə,,ˈhʉːˌvɵd,hoːvəd,hœːvʏθ,hœtː,ɡâlva,,ˈɡwɔ.va,ˈɦlava,ɦɫava,ˈɡlàːʋa,ɡləˈva,,ɣaɫaˈva,ɦɔlɔˈu̯ɑ,ɡəlɐˈva,kɐ.ˈβe.sɐ,ˈtɛsta̝,kaˈbeθa,ˈkap,kap,tɛt,ˈtɛs.ta,kap,caun̪ˠ,pɛn,pɛ̃n,,caun,kɔkə,ɡəˈluχ,ce̞ˈfali,tʰävi,dudi,dudi,tʰχwim,tala
ear,oːr,oːr,ʊər,ɪə̯,ˈɔɪ.əʁ,,,øːra,øːrə,ˈeira,ˈɔira,àws,ɐʊˈsʲɪs,ˈu.xɔ,ˈuxo,ˈu.xɔ,uˈxóː,uˈxɔ,ˈuvɔ,ˈvuxa,ˈwuxɔ,ˈuxə,o(w).ˈvi.ðu,,oˈido,oˈɾə.ʎə,awˈɾeʎo,ɔ.ʁɛj,ɔˈrekkjo,uˈre.ke,klˠuəsˠ,klɨːst,skwaʁn,,kleːʃ,,ɑˈkɑnd͡ʒ,aˈfti,qʼuri,ʔudʒi,qʼudʒi,ʃdim,tʃeʋi
eye,ˈaʊ̯ɡə,oːx,oəχ,aɪ,,ɪə̯x,²æʉɡə,ˈøːˌɡa,øjə,ˈøyːɣa,ˈɛiːja,ats,ɐˈkʲɪs,ˈɔ.kɔ,ˈoko,ˈɔkɔ,ɔˈkóː,oˈkɔ,ˈɔkɔ,ˈvoka,ˈɔkɔ,ɡlas,ˈo.ʎu,ˈoʎʊ,ˈoxo,ˈuʎ,,œj,ˈɔk.kjo,okʲ,sˠuːlʲ,ˈɬəɡad,ˈla.ɡat,s̪uːl,suːlʲ,sɒj,ɑt͡ʃʰkʰ,ˈmati,tʰväli,tʰɔli,tʰɔli,tʰɛ,kan̪ːu
nose,ˈnaːzə,nøːs,nɪøs,nəʊz,,,,ˈnɛːsˌa,ˈnɛːsə,nɛːv,nøːs,,,nɔs,nos,,ˈnóːs,nɔs,,,,nos,nɐˈɾiʃ,naˈɾiθ,naˈɾiθ,ˈnas,,ne,ˈna.zo,,sˠɾˠoːnˠ,truːɨ̯n,ˈfriː,s̪t̪ɾɔːn,st̪rudʲnʲ,,kʰitʰ,ˈmiti,tsχviri,tʃχvindi,tʃχindi,nɛpʰχwnä,
mouth,mʊnt,mɔnt,mɔnt,maʊθ,,ˈmulə,,mɵn,mon,ˈmʏnːʏr,,mutɛ,bʊrˈnɐ,ˈu.sta,ˈuːsta,ˈuːsta,ˈùːsta,usˈta,,rot,ˈrɔt,rot,ˈbo.kɐ,,ˈboka,ˈbo.kə,buko,buʃ,ˈbokka,,bʲia̯l̪ˠ,keːɡ,ˈɡɵ̃ː.nu,piaɫ̪,ˈbiəl,ˈɡɔjə,bɛˈɾɑn,,pʼiri,pʼidʒi,pʼidʒi,pʼil,noːru
tooth,t͡saːn,tɑnt,,tuːθ,tsɔn,,tɑnː,ˈtand,tan,tʰœnː,tʰɔnː,zùops,,zɔmp,zup,ˈzup,ˈzóːp,zɤp,,,,zup,ˈdẽ.tɨ,,ˈdjente,ˈdent,,dɑ̃,ˈdɛnte,ˈdinte,ˈfʲiəkəlʲ,dant,,,,,ɑˈtɑm,ˈðɔndi,kʼbili,kʼibiri,kʼibiri,ʃdikʰ,pan̪ːu
tongue,ˈtsʊŋə,tɔŋ,,tʌŋ,tsʊŋ(ɡ),,,ˈtɵŋˌa,tɔnɡə,ˈtʰuŋka,ˈtʰʊŋka,mɛ̀ːlɛ,,ˈjɛ̃.zɨk,ˈjazɪk,ˈja.zik,ˈjɛ̀ːzik,ɛˈzik,ˈjazik,jaˈzɨk,jɐˈzɪk,(j)ɪˈzɨk,ˈlĩ.ɡwɐ,,ˈlenɡwa,ˈʎəŋ.ɡwə,ˈleŋɡo,lɑ̃ɡ,ˈliŋ.ɡwa,ˈlimbə,ˈtʲaŋə,ˈtavɔd,ˈtɛwt,tʰʲɛŋɡə,ˈtʃɛnʲə,ˈɟʑuhə,lɛˈzu,ˈɣlosa,ɛnä,ninä,nɛnä,nin,
fingernail,ˈfɪŋɐnaːɡl̩,,,ˈfɪŋɡɚˌneɪl,,,,,najl,nœkl,,,,pazˈnɔ.kʲɛt͡ɕ,,ˈɲɛxt,ˈnóːxt,ˈnɔkət,nɔkt,paˈznoɣat͡sʲ,,ˈnoɡətʲ,ˈu.ɲɐ,,ˈu.ɲa,ˈuŋ.ɡlə,,ɔ̃ɡl,ˈun.ɡja,,,,,,,,jɛˈʁunɡ,ˈniçi,pʰrtʃχili,birtsχä,butsχä,tsχä,ɡoːru
foot,fuːs,vut,,fʊt,fʊs,,fuːt,fuːt,foːd,,ˈfɔuːtʊɹ,,,ˈstɔ.pa,ˈnoɦa,ˈnɔɦa,stɔˈpàːlɔ,stəˈpalo,,naˈɣa,,nɐˈɡa,ˈpɛ,ˈpɛ,pje,ˈpɛw,pɛ,pje,ˈpjɛde,piˈt͡ʃjor,kɔsˠ,troːɨ̯d,,kʰas,,kəm.bə,vɔtkʰ,ˈpoði,tʼɛrpʰi,närtʃäkʼutʃχi,tʼäbu,lägæäm,
leg,baɪ̯n,beːn,,lɛɡ,fʊs,skoŋk,bæɪn,ˈbeːn,beːn,ˈfouːtʏr,,kāːja,,ˈnɔ.ɡa,ˈnoɦa,ˈnɔɦa,nɔ̀ːɡa,krak,,naˈɣa,,nɐˈɡa,ˈpɛɾ.nɐ,,ˈpjerna,ˈka.mə,ˈkambo,ʒɑ̃b,ˈɡamba,,kɔsˠ,koːɨ̯s,ˈɡɑːr,kʰas,,kəm.bə,vɔtkʰ,ˈpoði,pʰɛχi,kʼutʃχi,kʼutʃχɛ,tʃʼiʃχ,kaːlu
knee,kniː,kni,,niː,knɪ,,,,,n̥jɛː,knɛaː,tsɛlis,ˈkʲæ̌ːlʲɪs,kɔˈla.nɔ,ˈkolɛno,ˈkɔlɛnɔ,kɔˈlèːnɔ,koˈlʲano,,kaˈlʲena,,kɐˈlʲenə,ʒu.ˈe.ʎu,ʃeˈonʎo̝,roˈdiʎa,ʒəˈnoʎ,(d)ʒeˈnul,ʒə.nu,dʒiˈnɔkkjo,dʒeˈnunkʲ,ɡl̪ˠuːnʲ,,ˈɡliːn,,ɡlʲuːnʲ,,t͡suŋk,ˈɣɔnatɔ,muχli,birguli,burgili,kʰutʰul,
hand,hant,ɦɑnt,,hænd,hant,,hɑnd,hand,hɔnˀ,hœnt,hɔnt,ɾùoka,ɾɐŋˈkɐ,ˈrɛŋ.ka,ˈruka,ˈruka,rɔ̀ːka,rəˈka,,,rʊˈkɑ,rʊˈka,ˈmɐ̃w̃,,ˈmano,ˈma,ma,mɛ̃,ˈmaːno,ˈmɨ.nə,l̪ˠɑːvˠ,ɬaːu̯,ˈdɔʁn,ɫ̪ãːv,,dɔɹ,d͡zɛrkʰ,ˈçeɾi,χɛli,χɛ,χɛ,ʃi,
wing,ˈflyːɡl̩,,,wɪŋ,,,,ˈvɪŋˌɛ,,ˈvaiŋkʏr,ˈvɔŋkʊɹ,spàːɾns,,ˈskʂɨ.dwɔ,kr̝̊iːdlo,ˈkriːdɫɔ,ˈkrìːlɔ,kriˈlɔ,,krɨˈɫo,,krɨˈlo,ˈa.zɐ,aː,ˈala,ˈa.lə,,ɛl,ˈala,,ˈʃcɪhɑːn,ˈadai̯n,ˈas.kɛl,,ˈskiːən,kɾa,tʰɛv,,pʰrtʰä,suä,msvä,kʼäbərdʒ,rekːa
belly,baʊ̯x,bœy̯k,,bɛli,bɔɪχ,,,²mɑːɡɛ,,ˈmaːjɪ,,,,bʐux,ˈbr̝ɪxo,ˈbruxɔ,ˈtrèːbux,koˈrɛm,mɛf,,,ʐɨˈvot,bɐ.ˈʁi.ɡɐ,banˈduʎo̝,bäˈriɣä,ˈbuk,,vɑ̃tʁ,ˈpan.t͡ʃa,,ˈbˠɔlˠəɡ,,ˈkofː,,,,pʰɔɾ,,mutsɛli,kʰɔrä,kʰɔrbä,qʰæd,poʈːa
guts,ˈaɪ̯nɡəvaɪ̯də,,,ɡʌts,,,,,,,,,,,,,,,ˈt͡srɛva,,,kʲɪʂˈkʲi,,,,,,ɑ̃t.ʁaj,,,ˈɪn̠ʲiː,,,,,,pʰoɾoˈtikʰ,,nätsʼlävi,tʃʼi,tʃʼu,tʃʼintʃʼil,
neck,hals,,,nɛk,haldz,,hɑls,,hals,hauls,,,ˈkä̌ːklɐs̪,ˈʂɨ.ja,kr̩k,kr̩k,ˈʋráːt,ˈʃijə,vrat,,ˈʃɪjɐ,ˈʂɛjə,pɨʃ.ˈko.su,pesˈkoθo̝,ˈkweʎo,ˈkɔʎ,,ku,ˈkɔl.lo,ɡɨt,ˈmˠɪnɑːl,ɡʊðv,,,,ˈcafə,viz,,kʼisɛri,kʼisɛri,dʒinikʰi,kʼintʃχ,
back,ˈʁʏkn̩,rʏx,rœχ,bæk,,rɛːx,,rʏɡ,,paːk,,,ˈn̪ʊɡɐrɐ,ˈplɛ.t͡sɨ,ˈzaːda,ˈxr̩baːt,ˈxərbət,ɡrɤp,ɡr̩p,ˈsʲpʲina,,spʲɪˈna,ˈkɔs.tas,ˈlombo̝,esˈpal.da,əsˈkə.nə,,do,ˈskjɛna,,d̪ˠɾˠiːmʲ,,ˈkɛjn,kʰuːɫ̪,d̪riːm,ʃpiːn,mɛt͡ʃʰkʰ,,zurgi,ɔtʃʼiʃi,kʼäpʼulä,tʃʼätʃʼær,
breast,bʁʊst,bɔrst,bɔ(ː)rs,bɹɛst,,,,,brøst,prjoust,brœst,,,pʲɛrɕ,pr̩s,ˈpr̩sɲiːk,,ɡərˈda,ˈɡrada,,,ɡrutʲ,ˈsɐj.u,,ˈpet͡ʃo,ˈpit,,sɛ̃,ˈse.no,pjept,,brɔn,,kʰʲiəx,,,kuɾt͡skʰ,ˈstiθos,mkʼɛrdi,kʼidiri,gjɔnkʰsi,mutʃʼwɛd,t͡ʃan̪ːu
heart,hɛʁts,ɦɑrt,,hɑːt,,hɛt,²jɑrtə,ˈjɛrˌta,jɛrtə,ˈçar̥ta,ˈjaɹ̥ʈa,sîɾts,ʃʲɪrʲˈdʲɪs,ˈsɛr.t͡sɛ,ˈsr̩t͡sɛ,sr̩tsɛ,sərˈtséː,sərˈt͡sɛ,ˈsr̩t͡sɛ,ˈsert͡sa,ˈsɛrt͡se,ˈsʲert͡sə,ko.ɾa.ˈsɐ̃w̃,,koɾaˈθon,ˈkɔr,kɔr,kœʁ,ˈkwɔːre,ˈinimə,kɾˠiː,ˈkalɔn,ˈkalɔ̃n,,kriː,ˈzɛməɾ,siɾt,karˈðʝa,guli,guri,guri,gwi,
liver,ˈleːbɐ,ˈleːvər,,lɪvə(ɹ),,,ˈleːʋɛr,,leːvər,ˈlɪːvʏr,ˈliːvʊɹ,aknas,,vɔnˈtrɔ.ba,ˈjaːtra,ˈpɛtʃɛɲ,ˈjèːtra,ˈtʃɛrɛn drɔp,ˈd͡ʒiɡɛr,ˈpʲet͡ʂanʲ,,ˈpʲet͡ɕɪnʲ,ˈfi.ɡɐ.du,,ˈiɡado,ˈfe.d͡ʒə,,fwa,ˈfeɡato,,eː,ˈavɨ̞,ˈɑːvy,,eːn,,ljɑɾtʰ,,ʁvidzli,tʃχɔntʃχi,dʒigɛri,qʼwiʒɛ,
drink,ˈtʁɪŋkən,ˈdrɪŋkə(n),,dɹɪŋk,,ˈdrɪŋkə,,drɪkːa,drekə,ˈtrɛhka,ˈtɾɛʰkːa,dzɛɾ̂t,ˈɡʲɛrʲ.tʲɪ,pʲit͡ɕ,piːt,ˈpic,ˈpiːti,ˈpijə,ˈpi.ɛ,,,pʲitʲ,be.ˈbeɾ,,beˈβeɾ,ˈbəw.ɾə,ˈbewre,bwaʁ,ˈbe.re,be̯a,oːl̪ˠ,ˈəvɛd,ˈe.vɑ̃,ɔːɫ̪,,pi,χəˈmɛl,ˈpi.no,smä,ʃumä,ɔʃu,litʰrɛ,
eat,ˈʔɛsn̩,,,iːt,,,,ˈɛːˌta,spiːsə,,,,,,jiːst,,,,ˈjadɛ,,,jesʲtʲ,ko.ˈme(ʁ),,koˈmeɾ,məɲˈʒa,,mɑ̃.ʒe,manˈdʒa.re,luˈa,ɪ,,,,,,uˈtɛl,ˈtro̞o̞,tʃʼämä,tʃʼkʼɔmuä,ɔtʃʼkʼɔmu,lizwɛb,
bite,ˈbaɪ̯sn̩,ˈbɛi̯tə(n),,baɪt,,,,,biːdə,ˈpiːta,,kuôst,,,ˈkou̯sat,,,ot̪ˈxapvəm,ɔdˈɡrizuva,kuˈsat͡sʲ,,ɐtˈkusɨvətʲ,muɾˈðeɾ,,,mo.səˈɡa,,mɔʁdʁ,ˈmɔrdere,muʃˈka,,knɔj,,,,kafˈʃɔj,kəˈtsɛl,ðaŋˈɡono,kʼbɛtʃä,χitʃuä,ɔkʼibinu,liqʰɛpʰ,
suck,ˈzaʊ̯ɡən,ˈzœy̯.ɣə(n),,sʌk,,,,,,ˈsjuːa,,sùːkt,ˈtʲʃʲʊlʲpʲtʲɪ,ssat͡ɕ,,,,,ˈt͡sit͡sa,smaktat͡sʲ,,sɐˈsatʲ,,t͡ʃuˈt͡ʃaɾ,t͡ʃuˈpaɾ,ʃuˈkla,,sy.se,,ˈsu.d͡ʒe,sˠuːɟ,,,ˈtʲo.al,,θiθ,t͡səˈt͡sɛl,,tsʼɔvä,tsʼuälä,ɔtsʼu,litʃigw,
spit,ˈʃpʊkŋ̩,,,spɪt,,,,,spøtɘ,ˈr̥aiːca,,spʎāwt,,plut͡ɕ,ˈplɪvnou̯t,ˈpʎuc,,,ˈpɫuka,,,plʲɪˈvatʲ,kuʃ.ˈpiɾ,kusˈpiɾ,eskuˈpiɾ,,,kʁa.ʃe,spuˈtare,,,,,,,,tʰəˈkʰɛl,ˈfti.nɔ,pʰurtʰχɛbä,pʰurtʼinuä,ntʃʼkʼväläpʰä,litʼbənɛ,
vomit,ˌyːbɐˈɡeːbən,,,ˈvɒmɪt,,,,,,ˈaiːla,,,,vɨ.mʲɔˈtɔ.vat͡ɕ,,,,,ˈpɔvraca,,,blʲɪˈvatʲ,vu.mi.ˈtaɾ,,,vo.miˈta,,vɔ.miʁ,vomiˈtare,,ˈaʃɪɟ,,,,,,,,rtsʼqʼɛvä,rtsʼqʼiälä,ɔntʰχɔru,litʼχunɛ,
blow,ˈblaːzn̩,ˈblaːzə(n),,bləʊ,,,,,blɛːsə,,,,ˈpǔːsʲtʲɪ,ˈdmu.xat͡ɕ,ˈvaːt,,,,ˈduva,,,dutʲ,suˈpɾaɾ,,,buˈfa,,su.fle,sofˈfjare,,ʃeːdʲ,ˈχwəθɨ̞,,,,,pʰəˈt͡ʃʰɛl,,bɛrvä,bäruä,bäräpʰä,libɛlɛ,
breathe,ˈaːtmən,ˈaːdəmə(n),,bɹiːð,,,,,ɔnə,ˈanta,,,,ɔdˈdɨ.xat͡ɕ,ˈdiːxat,ˈdiːxac,,,,,,dɨˈʂatʲ,ʁɨʃ.pi.ˈɾaɾ,,,rəs.piˈɾa,,ʁɛs.pi.ʁe,respiˈrare,,,anˈadlɨ̞,,,,,ʃənˈt͡ʃʰɛl,a.naˈpne.o,suntʰkʰvä,,ɔʃvänu,liχwäntʼɛ,
laugh,ˈlaχn̩,ˈlɑxə(n),ɫɐχ,laːf,,ˈlai̯tsjə,,,leː,ˈl̥aiːja,,,,ɕmʲat͡ɕ ɕɛ,smaːt,ˈsmi̯ac sa,,,sɛ ˈsmɛ.ɛ,,,smʲɪˈjat͡sːə,ˈʁiɾ,,,ˈriw.ɾə,,ʁiʁ,ˈri.de.re,,ɡɑːɾʲ,,,,,cɛʃ,t͡sit͡sɑˈʁɛl,,sitsili,dzitsä,dzitsini,litswnäl,naʋːu
see,ˈzeː.ən,zin,,siː,,,ʃoː,seː,seː,ˈsjauː,ˈsʊt͡ʃːa,ɾɛdzɛ̂ːt,mɐˈtʲîːtʲɪ,ˈvʲi.d͡ʑɛt͡ɕ,ˈvɪɟɛt,ˈviɟi̯ɛc,ˈʋiːdɛti,ˈviʒdəm,ˈɡlɛda,ˈbat͡ʂɨt͡sʲ,ˈbɑt͡ʃete,ˈvʲidʲɪtʲ,veɾ,,ˈbeɾ,ˈvəw.ɾə,,vwaʁ,veˈde.re,veˈde̯a,fʲɛc,ɡwɛld,,,,,tɛsˈnɛl,ˈvlepo,χɛdvä,rtsʼqʼɛbä,ɔtsʼkʼɔmilu,lisgdi,
