word,sl,km,be,ka,kfb,ku,th,cy,pl,af,tcx,tcy,mk,fo,kxv,ug,bn,tr,fr,vro,yi,lb,is,gon,ko,bo,pt,hu,he,brh,sq,zu,oc,en,sa,sk,tl,az,ga,nl,mn,kfa,xub,et,kn,my,liv,ny,lo,kru,es,gdb,ro,lt,fi,za,vot,sv,uk,ur,ta,vi,kfe,da,nn,bfq,la,hy,de,id,br,lzz,gv,mt,fa,krl,el,cs,sva,ms,te,yea,ca,hi,ar,ml,bg,kff,xmf,tg,ps,vep,ru,it,ja,fy,se,lv,gd,gl,mjt,pci,ba,as
animal,ʒiˈʋáːw,st̥v,,tsχɔvɛli,,,sat̚˨˩,aˈnɪvai̯l,ˈzvʲɛ.ʐɛ,,,,ʒiˈvɔtnɔ,t͡ʃɔuːr,,,,hajˈvan,a.ni.mal,ˈelːæi,,dei̯(e)ʀ,tiːr,,ˈto̞ːŋmuɭ,*sems.t͡ɕan,ˌɐ.ni.ˈmaw,ˈaːlːɒt,,,,isílwaːne,,ˈænɪməl,pɐ́.ɕu,ˈʒivɔt͡ʃiːx,,,anʲəvʲiː,dir,,,,ˈloːm,,təɹeɪʔsʰàɴ,ˈje̞lɑi,ˈɲa.ma,sat˦˥,,aniˈmal,,a.niˈmal,ɡʲiːˈʋuːnɐs,ˈelæin,,ˈʒivɤtːɑ,jʉːr,tʋɐˈrɪnɐ,,,tʰu˧˦ vət̚˧˨ʔ,,dyːr,,,ˈa.ni.mal,kɛntʰɑˈni,tiːɐ̯,,ˈlo.ɛ̃n,häjväni,,,dʒɒːnˈvæɾ,ˈelætːi,ˈzo.o,ˈʒɪvot͡ʃɪx,tsχɔwɛl,binataŋ,,,ə.niˈmal,pə.ʃuː,ħa.ja.waːn,,ʒiˈvɔtno,,tsχɔvɛli,,,ˈʒivɑt,ʐɨˈvotnəjə,aniˈmale,do̞ːbɯ̟ᵝt͡sɨᵝ,,,dzîunìɛks,,,,,χɑjˈwɑn,
warm,ˈtɔ̀ːpəw,k̥ṭau,ˈt͡sʲopɫɨ,tʰbili,ʋekka,,ʔun˨˩,,ˈt͡ɕɛ.pwɨ,,kortilije,betʃtʃa,,,,,,ɯˈɫɯk,ʃo,ˈlæmːi,,vaːʀm,,ka:sta,t͈a̠t͈ɯtʰa̠da̠,,,ˈmɛlɛɡ,,ba:sun,,,,wɔːm,,ˈcɛpliː,,iɫɯχ,tʲɛ,ʋɑr(ə)m,,bekke,su:ɖə,ˈsoe,betʃtʃage,pù,ˈle̞m,,,udum,kaˈljente,ʋeʈal,kald,ˈʃʲɪltɐs,ˈlæmːin,,ˈlæmːiː,varm,,,ʋedəʋedəppə,ʔəm˧˦,bʰulo:gam,,,uppekke,ˈka.li.dus,d͡ʒɛɾm,vaʁm,,,tʼibu,,,ɡʲæːɾm,ˈlæmːin,ze̞ˈsto̞s,ˈtɛpliː,tʼɛbdi,haŋat,ʋetʃtʃa,bekki,kəˈlent,,daː.fiʔ,uṣṇa,ˈtɔpəl,ʋe:ɖ,tʼibu,,,ˈlæm,ˈtʲɵplɨj,ˈkaldo,a̠ta̠ta̠ka̠i,vaːrm,,sīlts,,ˈkɛnt̪ɪ,kuɖni,tūk,jɯ̞.ˈɫɯ̞,
right,praˈʋìːtsa,,ˈprava,märdʒvɛnä,,,sit̚˨˩.tʰiʔ˦˥,hau̯l,ˈpra.vɔ,,,,,,,,,hɑk,dʁwɑ,ˈhyæ,,,ˈrjɛhtɪntɪ,,kwʌ̹ɭʎi,,d͡ʒiˈɾejtu,ˈjoɡ,,,,,,ˈɹaɪt,,,ka.ɾa.pa.ˈtan,hyˈɡuɡ,,rɛxt,irx,,,ˈpɑrem,,ʔəkʰwɪ̰ɴ,ˈjɨvɑː,,,,deˈɾet͡ʃo,,drept,,ˈoikeɑ,keːn˧˩ li˧˥,ˈɤikɤɑ,,,,,kwiən˨˩ ləːj˧˨ʔ,,rɛt,rɛtː,,,iɾɑˈvuŋkʰ,ʁɛçt,haʔ,,mädzgväni,,,,ˈoikie,ðiˈceoma,ˈpraːvo,lɛrsgwɛn,,,,ˈdɾət,ə.d̪ʱɪ.kɑːɾ,ħaq.qa,,,,märdzgväni,,,ˈoiged,ˈpravə,,,,,,,,,,χʊ̞.ˈquq,
throw,,poḥ,,srɔlä,,,joːn˧,ˈtavlɨ̞,ˈʐu.t͡sat͡ɕ,,,,,kʰasta,,,,,ʒə.te,ˈhiːtːmæ,,ɡeˈhai̯en,ˈkʰasta,,tʌ̹nd͡ʑida̠,,lɐ̃.ˈsaɾ,ˈdob,,,,,,θɹəʊ,,,,ɑtˈmɑχ,kɑh,ˈʋɛrpə(n),xajəx,,,ˈʋiskɑmɑ,,pjɪʔ,ˈe̞it̪ɨ,,,,,,,ˈmʲɛsʲtʲɪ,ˈheitːæː,,ˈviskɑː,,,,,nɛm˧˦,,,,,ˈjak.toː,nɛˈtɛl,ˈvɛʁfən,,,ɔstʰɔmilu,,,ændɒːxtæn,ˈheitːiæ,,,likʼwänɛ,,,,ʎənˈsa,pʰeːŋk.nɑː,,,,,ʔɔtʰämä,ændɔːxtæn,,ˈtɑtstɑ,brɐˈsatʲ,,,,,mest,ˈtʃʰilikʲ,,,,,dɔ.liʊa
woman,ˈʒèːnska,s̥rī,ʐanˈt͡ʂɨna,kʰäli,ba:ji,,pʰuː˥˩.jiŋ˩˩˦,,kɔˈbʲɛ.ta,,tusmo:gə,pondʒa,ˈʒɛna,,ɖoli,,,kaˈdɯn,fam,ˈnɑːnɤ,,fʀa,ˈkʰɔːna,muɾtad,jʌ̹sʰʌ̹ŋ,,muˈʎɛɾ,ˈnøː,,njaaɽi,ˈɡɾua,úm̩fâːzi,ˈfenno,ʊ,s̪t̪ɽíː,ˈʒe.na,,,bʲanˠ,vrɑu̯,,ponna:ɭə,pəɳakkən,ˈnɑine,hengasu,méɪɴma̰,ˈnɑi,ˈmká.zi,pʰuː˨˩ ɲiŋ˦˥,mukka,muˈxeɾ,tukud,feˈmeje,ˈmoːtʲɛrʲɪs,ˈnɑinen,,ˈnɑin,ˈkvɪnːˌa,ˈʒʲinkɐ,,peɳ,fu˧˨ʔ nɨ˦ˀ˥,pemagu,ˈkʰvenə,²kʋɪnːə,emma:ti,ˈfeː.mi.na,kin,fʁaʊ̯,,,ɔχɔrdʒä,bɛᵈn,,,ˈnɑine,ʝiˈne̞ka,ˈʒɛna,zuräl,wanita,stɾi:,panitʃi,ˈdɔ.nə,ˈɔːɾət̪,ʔim.ra.ʔa,peɳɳə,ʒɛˈna,na:taʋa:d,ɔsuri,,ʂəˈd͡za,ˈnɑine,ˈʐɛnʲɕːɪnə,ˈdɔn.na,õ̞nːa̠ no̞ çi̥to̞,,ˈnisuː,,b̥ɛn,muˈʎɛɾ,teldu,tūk,qɑˈtɯ̞n,maɪ.ki ma.nuʱ
think,ˈmiːsliti,yl´,,pʰikʰri,,ˈfɯkɯɾiːn,kʰit̚˦˥,ˈmɛðʊl,ˈmɨɕ.lɛt͡ɕ,dəŋk,,,,,,,,,pɑ̃.se,ˈmɤtːlɤmɑ,,,ˈhʏxsa,,sʰe̞ŋɡa̠kʰa̠da̠,,pẽˈsaɾ,ˈɡondolkodik,ħaˈʃav,,mɛnˈdɔj,,,θɪŋk,,ˈmisli̯ɛc,,dyʃynˈmæk,capˠ,ˈdɛŋkə(n),,,,ˈmɤtlemɑ,,twé,ˈmɨt̪lɨ,ɡaˈni.za,,,penˈsaɾ,,ɡɨnˈdi,,ˈɑjɑtelːɑ,,ˈduːmɑtɑ,,ˈdumɐte,sotʃn̪aː,,ŋi˦ˀ˥,,,,,ˈkoː.ɡi.toː,mətɑˈt͡sɛl,ˈdɛŋkən,pi.kir,,ɔsimädu,,ˈħaːsɛp,ˌfekɾ kʲæɾˈd̪æn,ˈtuːmɑmɑijɑ,ˈsceftome,ˈpr̝̊ɛmiːʃlɛt,liskʼɔrɛ,fike(r),,,pənˈsa,sotʃn̪aː,,,,,gurtʃämä,,,ˈmeletɑdɑ,ˈdumətʲ,,kamukapu,,ˈjurːttaʃih(t),,,,,,,bʱɔ.ba
sew,,,ʂɨt͡sʲ,kʼɛrvä,,,jep̚˦˥,,ʂɨt͡ɕ,,,,,,,,,,kudʁ,ˈumplɤmɑ,,ˈbitsen,ˈsøyːma,,ˈkiːp̚t͈a̠,,,ˈvɒrː,taˈfar,,,,,səʊ,,,,,,ˈnaːjə(n),,,,ˈɤmblemɑ,,t͡ɕʰoʊʔ,ˈumblɨ,,,,ko.ˈser,,,ˈsʲuːtʲɪ,ˈomːelːɑ,,ˈɤmːɤɑ,,,,,xəw˧˧,,syː,,,ˈsu.oː,kɑˈɾɛl,ˈnɛːən,,,ɔtʃʼu,,,,ˈomːelːɑ,,,liʃχbi,,,,kuˈzi,,xajtˁ,,ˈʃijə,,tʃʼälä,,,ˈombeltɑ,ʂɨtʲ,kuˈtʃire,nupu,,,ʃūːt,,,,,,xia
skin,ˈkòːʒa,s̥paek,ˈskura,kʼäni,to:l,ˈt͡ʃɛɾm,pʰiw˩˩˦.naŋ˩˩˦,kroːɨ̯n,ˈsku.ra,,tu:ɾs,tʃeɾma,,,,,,,po,ˈnɑhkː,heɪt,hæu̯t,huːð,to:l,sʰa̠ɭɡa̠t̚,,ˈpɛ.lɨ,ˈbøːr,ɔʁ,sil,ləkuɹə,isíkʰuːmba,pɛl,skɪn,,ˈkɔʒa,ba.ˈlat,dæˈri,ˈkɾˠacən̪ˠ,ɦœy̯t,arʲs,to:lə,to:lə,ˈnɑhk,togalu,ʔəjè,ˈnoːgɨ,ˈkʰu.ᵑɡú,,tʃapʈa,,tal,ˈpjele,ˈôːd̪ɐ,ˈiho,naŋ˨˦,ˈiho,hʉːd,,t̪ʋətʃaː,to:lə,zaː˧˧,to:lu,,,to:lə,ˈku.tis,mɑʃk,haʊt,,ˈkʁoːχɛn,tʼkʼɛbi,ˈkraːɣən,ˈdʒɪldɐ,poːst,ˈnɑhkɑ,ˈðɛɾma,ˈkuːʒɛ,kʼæn,kulet,to:lu,to:lu,ˈpeʎ,t̪ʋə.t͡ʃɑː,d͡ʒild,toli,ˈkɔʒə,to:l,tʼqʼɛbi,pɵːst,,ˈnɑhk,ˈkoʐə,ˈpɛlle,,,ˈlijːkiː,âːda,,,tʃa:na,tōl,tʲi.ˈrɪ̞,sal
here,ˈtúːkaj,neḥ,,äkʰ,,,tʰiː˥˩.niː˥˩,,tu,,,,ˈtuka,,,,,,i.si,ˈtːɑn,,hai̯,çɛːr,,jʌ̹ɡi,,ɐˈki,ˈitː,kan,,,,,hɪə(ɹ),ɐ́t̪.ɽɐ,,,burɑˈdɑ,,ɦir,,,,ˈsiːn,,,ˈt̪æs,,,,aˈki,,aˈit͡ʃʲ,tʃʲɛ,ˈtæːlːæ,,ˈtæːlːæ,hæːr,,,,,,,,,hik,ɑjsˈtɛʁ,hiːɐ,,,äkʰ,,aʊ̯n,iːnˈdʒɒː,ˈtæs,,ˈtoto,ämɛtʃu,sini,,,əˈki,,hu.naː,,ˈtuk,,tʰäkʰ,,ˈd̪əlt̪a,ˈtægæ,zʲdʲesʲ,kwa,⟨ko2ko2⟩,,,,,,,,,iat
river,ˈrèːka,dn̥le,raˈka,mdinärɛ,,ˈt͡ʃɛm,mɛː˥˩.naːm˦˥,ˈavɔn,ˈʐɛ.ka,rəˈfiːr,,,,ɔaː,,,nod̪i,,flœv,ˈjɤki,,flos,fljouːt,,ka̠ŋ,,ˈʁi.u,ˈfojoː,naˈhaʁ,,,uḿ̩fuːla,ˈrriw,ˈɹɪvə,n̪ɐ.d̪íː,ˈri̯ɛka,,,əunʲ,riːˈviːr,,,,ˈjɤgi,,mjɪʔ,ˈjoug,mˈt͡sí.ⁿd͡ʒe,mɛː˧˧ nam˥˧,,ˈri.o̞,,rɨw,ˈʊpʲeː,ˈjoki,ta˧,ˈʝɤgi,fluːd,rʲiˈkɑ,nədiː,,səwŋ͡m˧˧,,,,,ˈfluː.men,ɡɛt,flʊs,,ˈstɛːr,ɔrubä,aunʲ,ˈʃmɐːrɐ,ɾuːd̪,ˈjogi,,ˈr̝ɛka,tʃʼälæ,suŋai̯,,,ˈriw,nədiː,nahr,,rɛˈkɤ,,mältsʼqʼäri,rɵd,siŋd̪,ˈjogi,rʲɪˈka,ˈfju.me,kapa,,ˈjohka,,,ˈri.o̝,,,jɯ̞ɫˈʁɑ,noɪ
near,,jit,ˈblʲiskʲi,äχlɔ,,,klaj˥˩,,ˈblʲis.kʲi,,,,,,,,,jaˈkɯn,pʁɛ,ˈlæhkːyn,,,,,ka̠k͈a̠p̚t͈a̠,,ˈpɛɾ.tu,ˈkøzɛl,,,,,,nɪə(ɹ),,,,jɑχˈɯn,d̪ˠlˠuː,,,,,ˈlæhedɑl,,ní,ˈle̞ʒgɨl,,,,ˈθerka,,a.ˈpro̯a.pe,,ˈlæhelːæ,,ˈlitʃi,,,,,ɣən˨˩,,nɛːr,næːr,,proˈpin.kʷus,mɔt,naː,dəkat,,χɔlɔs,,ʔriːp,næzˈd̪iːkʲ,ˈlæsːæ,,ˈbliːskiː,pʰɛdiä,dəkat,,,,,qa.riːb,,ˈblizək,,χɔlɔ,,niɡˈde,ˈlæz,ˈblʲiskʲɪj,viˈtʃino,,,,,dɫ̪uː,,,,jɑ.ˈqɯ̞n,
ear,uˈxóː,t̥rciak,ˈvuxa,qʼuri,keʋ,,huː˩˩˦,klɨːst,ˈu.xɔ,ʊər,kili,kebi,ˈuvɔ,ˈɔira,kiɾiju,,,ku.ˈɫɑk,ɔ.ʁɛj,ˈkːɤrv,ˈɔɪ.əʁ,ˈəʊ̯ɐ,ˈeira,keʋu,kɥi,*rna.ba,o(w).ˈvi.ðu,ˈfyl,,xaf,,ínɮeːɓé,awˈɾeʎo,ɪə̯,,ˈu.xɔ,,,klˠuəsˠ,oːr,t͡ɕʰix,kemi,kiʋija,ˈkɤrʋ,kiʋi,ná,ˈkuːorɑ,ˈkʰu.tú,,kʰebda,oˈido,kekal,uˈre.ke,ɐʊˈsʲɪs,ˈkorʋɑ,ɣɯ˧˩,ˈkɤrvɑ,øːra,ˈwuxɔ,,ka:də,taːj˧˧,keʋə,øːrə,,kiʋi,ˈau̯.ris,ɑˈkɑnd͡ʒ,oːr,,skwaʁn,qʼudʒi,kleːʃ,ˈwɪdnɐ,ɡoːʃ,ˈkorvɑ,aˈfti,ˈuxo,ʃdim,təliŋə,tʃeʋi,kemi,oˈɾə.ʎə,kɑːn,ʔu.ðun,tʃeʋi,uˈxɔ,keʋ,ʔudʒi,ɡɵʃ,ɣwaɡ,ˈkorv,ˈuxə,ɔˈrekkjo,mʲimʲi,,ˈpea̯ʎːʎiː,àws,,,daɾti:,kekol,qʊ̞ˈɫɑq,kan
swell,,,,ʃɛʃupʼɛbä,,,bua̯m˧,,ˈpux.nɔɲt͡ɕ,,,,,ˈpœlna,,,,,ɡɔ̃.fle,ˈpːɑisːtːumɑ,,,,,pupʰuɭda̠,,ĩ.ˈʃa(ɹ),ˈdɒɡɒd,,,,,,swɛl,,,,,,ˈzʋɛlə(n),,,,ˈpɑisumɑ,,,ˈpɑist̪ɨ,,,,,,,,ˈpɑisuɑ,,ˈpɑisːuɑ,,,,,sɨŋ˧˧,,,,,in.tuˈmeːs.koː,uˈrɛl,ˈʃvɛlən,,,ɔbäru,,,,ˈpɑisuo,ˈpɾizome,,liʃiɛ,,,,imˈflaɾ.sə,,,,,,mbäruä,,,ˈpuhlotɑ,rəzdʊˈvat͡sːə,,,,,,,,,,,pʰu.la
how,kaˈkòː,rpiapṇā,,rɔgɔr,,,jaŋ˧.ŋaj˧,sɨ̞t,jak,,,,ˈkakɔ,,,,kibʱabe,ˈnɑ.sɯɫ,kɔ.mɑ̃,ˈkːui,,vɜɪ,,,ʌ̹t͈ʌ̹kʰe̞,,ˈko.mu,,(ʔ)eχ,,si,ɠáɲdʒaːní,,haʊ,,ˈjak,,ˈned͡ʒæ,ˈkʊnˠəsˠ,ɦu,,,,ˈkuidɑs,,bɛ̀,ˈkui,,,,ˈkomo,,kum,kaɪˑp,ˈkuinkɑ,,ˈkui,hʉːr,,,,,,,ˈkʊrlæɪs,,ˈkʷoː.mo.do,int͡ʃʰˈpɛs,viː,,,mutʃʼɔ,,,,ˈkui,ˈpos,jak,imʒi,,,,ˈkɔm,,kaj.fa,,,,mutʃʼɔ,,,ˈkut,kak,ˈkome,,,,,,,,,,kɛ.nɛ.koɪ
tooth,ˈzóːp,d̥ʰmeñ,,kʼbili,palku,,fan˧,dant,zɔmp,,paɾse,ku:li,,tʰɔnː,palu,t͡ʃiʃ,d̪ɑt̪,diʃ,dɑ̃,ˈhɑmːɑsː,tsɔn,,tʰœnː,pal,i,*so,ˈdẽ.tɨ,ˈfoɡ,,danda:n,,îːzîːɲo,,tuːθ,d̪ɐ́n̪.t̪ɐ,ˈzup,,diʃ,ˈfʲiəkəlʲ,tɑnt,ʃud,pallə,pallə,ˈhɑmːɑs,hallu,θwá,ˈɑːmbɑz,ˈd͡zí.no,kʰɛːw˨˩,pall,ˈdjente,pa:lkill,ˈdinte,,ˈhɑmːɑs,heːu˥,ˈɑmːɑz,ˈtand,,d̪ãt̪,pallə,zaŋ˧˧,pal,tan,tɑnː,hallə,dens,ɑˈtɑm,t͡saːn,ɡi.ɡi,,kʼibiri,,ˈsɪnːɐ,dændɒːn,ˈhɑmːɑs,ˈðɔndi,zup,ʃdikʰ,ɡiɡi,pannu,pallu,ˈdent,d̪ɑ̃ːt̪,san.na,pallə,zɤp,palk,kʼibiri,dændɔːn,ɣɑʂ,ˈhɑmbɑz,zup,ˈdɛnte,ha̠,,,zùops,,,pa:ldu,pel,tɪ̞ʃ,dãt
wing,ˈkrìːlɔ,s̥lāp,krɨˈɫo,pʰrtʰä,,,piːk̚˨˩,ˈadai̯n,ˈskʂɨ.dwɔ,,,,,ˈvɔŋkʊɹ,,,,,ɛl,ˈsːiːp,,,ˈvaiŋkʏr,,na̠ɭɡe̞,,ˈa.zɐ,ˈsaːrɲ,kaˈnaf,,kɾa,íːpʰiːɠo,,wɪŋ,,ˈkriːdɫɔ,,ɡɑˈnɑd,ˈʃcɪhɑːn,,,,,ˈtiːb,,ʔətàʊɴ,ˈt̪iːbɨz,ˈpʰi.ko,,,ˈala,,,,ˈsiːpi,fɯːt˧,ˈsiːpi,ˈvɪŋˌɛ,,,,kajŋ̟˧˦,,,,,ˈaː.la,tʰɛv,ˈflyːɡl̩,,ˈas.kɛl,msvä,ˈskiːən,ˈd͡ʒwɪːnɐħ,bɒːl,ˈsiːbi,,kr̝̊iːdlo,kʼäbərdʒ,,,,ˈa.lə,,d͡ʒa.naːħ,,kriˈlɔ,,suä,bɔːl,,ˈsuːg,krɨˈlo,ˈala,t͡sɨᵝba̠sa̠,,ˈsoɑ̯ɟɟiː,spàːɾns,,aː,,,qɑˈnɑt,dɛu.ka
hold,,kān´,trɨˈmat͡sʲ,dätʃʼɛrä,,,tʰɯː˩˩˦,dal,ˈtʂɨ.mat͡ɕ,ɦœu,,,,,,,,,tə.niʁ,ˈpːitæmæ,,ˈhaːlen,ˈhalta,,tɯɭda̠,,ˌse.ɡu.ˈɾa(ɹ),ˈtɒrt,,,mbaj,,,həʊld,,ˈdr̩ʒac,,tutˈmɑχ,ˈkɪn̠ʲə,ˈɦɑu̯də(n),,,,ˈhoidmɑ,,kàɪɴ,ˈpid̪ːɨ,,tʰɯː˩˨,,aɡwanˈtaɾ,,ˈt͡si.ne,tʊˈɾʲeːtʲɪ,ˈpitæː,,ˈpitæː,,,,,zɨ˦ˀ˥,,,,,ˈte.ne.oː,bərˈnɛl,ˈhaltn̩,,,ɔkʰätʃu,,,,ˈpityæ,,dr̩ʒɛt,lirmi,,,,ə.ɡwənˈta,pə.kəɽ.nɑː,,,,,däkʼinɛbä,,,ˈpidɑdɑ,dʲɪrˈʐatʲ,teˈne.re,,hɔːdə,,tuɾɛ̂ːt,kʰuːm,,,,,
burn,,ṭut,ɣaˈret͡sʲ,tsʼvä,gonɖka,,maj˥˩,ˈɬɔsɡɪ,ˈpa.lʲit͡ɕ ɕɛ,,ti:kku ka:ttiti,pottaʋaɾa,ˈɡɔɾi,,,,,,bʁy.le,ˈpːɑlɑmɑ,,,ˈprɛnːa,niɾus,,,ɐɾˈdeɾ,ˈeːɡ,,xa:xaɾ tinning,,,,bɝn,,,,,d̪ˠoːɟ,ˈbrɑndə(n),,tʃu:ɖə,bja:ɭ,ˈpɤlemɑ,suɖu,làʊɴ,ˈpɑlːɨ,,,olna,aɾˈdeɾ,tukud,,,ˈpɑlɑː,,ˈpɑlɑː,,,dʒəlna,eɾi,t͡ɕaj˧˦,ka:to,,,kitʃi:kdə,ˈaːr.de.oː,ajɾˈvɛl,ˈbʀɛnən,,,ɔtʃʼu,,,suːxˈtæn,ˈpɑluo,,ˈɦor̝ɛt,liʃχi,,ka:lu,tʃu:ɖə,,d͡ʒəl.nɑː,ħa.ra.qa,katikkuga,,maɳɖu,tʃʼuälä,,,ˈpɑlɑdɑ,ɡɐˈrʲetʲ,,moju,,,dekt,ɫ̪ɔʃɡ̊ʲ,,me:da,tūk,,zɔ.la
breast,,ṭoḥ,,mkʼɛrdi,sa:tti,,taː˥˩.nom˧,brɔn,pʲɛrɕ,bɔ(ː)rs,nidʒikuɖi,tigala,ˈɡrada,brœst,sipadaki,,,,sɛ̃,ˈrɤnt,,,prjoust,dudo,juba̠ŋ,,ˈsɐj.u,ˈmɛlː,ʃad,xad,,îːɓéːle,,bɹɛst,,ˈpr̩sɲiːk,,,,bɔrst,,mele,kujndigi,ˈrind,ede,no̰,ˈriːnd̪ɑ,ˈɓé.ɽe,tuː˥˦,jeʋakʰ,ˈpet͡ʃo,palgil,pjept,,ˈrintɑ,,ˈrintɑ,,,pɪst̪an,ma:ɾbə,vu˧˦,me:l,brøst,,ma:ɾə,ˈmam.ma,kuɾt͡skʰ,bʁʊst,,,gjɔnkʰsi,,,pʰesˈt̪ʰɒːn,ˈrintɑ,ˈstiθos,pr̩s,mutʃʼwɛd,,gunde,mele,ˈpit,,,māṟu,ɡərˈda,eddam,kʼidiri,,,ˈrind,ɡrutʲ,ˈse.no,mɯ̟ᵝna̠,,ˈt͡ʃidːd͡ʒiː,,kʰʲiəx,,daibuku,edram,im.ˈsæk,
hair,ˈláːs,sk´,ˈvoɫas,tʰmä,ti:ɾu,,pʰom˩˩˦,ɡwaːɬd,ˈvwɔ.sɨ,,mi:ɾs,ku:dʒal,ˈkɔsa,hɔaːɹ,bana,,tʃul,sat͡ʃ,ʃə.vø,ˈkːɑrv,hɔʁ,hoː(e)ʀ,hauːr,kel,mʌ̹ɾikʰa̠ɭ,,kɐ.ˈβe.lu,ˈhɒj,sa.ʔaˈʁa,puʒʒɛ,ˈcimɛ,ûːnwéːle,,hɛə,kɐ́j.ɕɐ,,bu.ˈhok,sɑt͡ʃ,ɡɾˠuəɟ,ɦaːr,,telami,ta:kəɾə,ˈkɑrʋ,kūdalu,zəbɪ̀ɴ,ˈkoːrɑ,,,tʃuʈʈi,kaˈbeʎo,tʃendi,,,ˈkɑrʋɑ,,ˈivuz,hoːr,wɔˈlɔsʲːɐ,bɒːl,muɖi,tawk͡p̚˧˦,manɖə mi:ɾə,,hoːr,oɾame,ˈko.ma,,haːɐ̯,,,tʰɔmä,,ʃaˁːr,mo,ˈhivus,,ˈvlasɪ,pʰätʰw,rambot,veɳʈɾukalu,tilami,kəˈbəʎ,bɑːl,ʃa.ʕa.ra,muɖi,koˈsa,dʒuʈʈul,tʰumä,,,ˈibus,ˈvoləsɨ,,,,,mats,,kaˈβ̞elʊ,ta:li,tūk,sæs,suli
hear,,ḹ,,smɛnä,ʋinti,ˈbiːstɯn,daːj˥˩.jin˧,ˈkləu̯ɛd,ˈswɨ.ʂɛt͡ɕ,,ke:l,keɳaɾa,,,,,ʃonɑ,,ɑ̃.tɑ̃dʁ,ˈkːuːltmɑ,,ˈhei̯ʀen,ˈheiːra,kendʒ,tɯt̚t͈a̠,,owˈviɾ,ˈhɒlː,ˈʃema,bining,,,,hɪə(ɹ),,,,,klˠɔʃ,ˈɦoːrə(n),,ke:ɭə,kə:ɭ,ˈkuːlmɑ,ke:ɭu,t͡ɕá,ˈkuːloː,,,menna,oˈiɾ,tukud,,,ˈkuːlːɑ,,ˈkuːlːɑ,,ˈt͡ʃute,,ke:ɭə,ŋɛ˧˧,ke:lə,høːrə,,ke:pə,ˈau̯.di.oː,ləˈsɛl,ˈhøːrən,də.ŋar,,ɔʃkʼinu,,ˈsɐmɐ,ʃeniˈdæn,ˈkuːlːɑ,aˈkuo,ˈslɪʃɛt,səmæn,dəŋa(r),ʋinu,ke:ɭu,sənˈti,sʊn.nɑː,sa.mi.ʕa,kelkuga,ˈtʃuvəm,ke:dʒa,rtʃkʰilä,ʃunidan,awraˈwəl,ˈkuldɑ,ˈslɨʂətʲ,,kʲi̥kɯ̟ᵝ,ˈjɛ(ː)rə,,dzìɾdɛ̂ːt,,ɔˈiɾ,me:na,ven,,xu.na
seed,ˈsèːmɛ,g̥rāp´būj,naˈsʲenʲːe,tʰɛsli,ʋittanam,ˈtov,ma˦˥.let̚˦˥.pʰan˧,haːd,naˈɕɛ.ɲɛ,,pittə,bi:dʒa,,fɹɛaː,,,,,sə.mɑ̃s,ˈsːeːmeʔ,ˈzɔɪ̯mn̩,zoːm,fraiː,vidʒdʒa,ɕ͈i,,sɨˈmẽtɨ,ˈmɒɡ,,bedʒdʒ,ˈfaːɾ,ímbêːwu,,siːd,bíː.d͡ʑɐ,ˈsɛmɛnɔ,,toˈχum,ʃiːl,zaːt,ur,kuɾu,bissə,ˈseːme,bede,ʔəsḭ,ˈsiːe̞mgɨz,ˈᵐbé.(w)u,,bi:,,tukud,səˈmɨntsə,ˈsʲeːklɐ,ˈsiemen,,ˈseːmeː,,ˈsʲimjɐ,,ʋedə,hot̚˧˨ʔ,ʋitu,sɛːd,frøː,pittə,ˈseː.men,sɛɾm,ˈzaːmən,,,tʰäsi,,zɛrˈrɪːja,t̪ʰoχm,ˈsiemen,ˈspo̞ro̞s,ˈsɛmɛno,læʃi,bəneh,ʋittanam,kuɾu,ʎəˈvo,,,vita,ˈsɛmɛ,pe:ɳɖku,tʰäsi,tuxm,,ˈsemen,ˈsʲemʲə,ˈseme,ta̠ne̞,,,,,seˈmɛnte̝,bʰumi,vittid,ʊ̞rˈɫʊ̞q,ɡu.ti
worm,ˈtʃə́rw,ṭṅ̥kūv,,tʃʼiä,,,nɔːn˩˩˦,,ˈrɔ.bak,,,,,,,,,,vɛʁ,ˈhusː,,muə̯t,ˈmaθkʏr,,,,ˈvɛɾ.mɨ,ˈkukɒt͡s,toˈla(ʔ)at,,kɾimb,isíɓuːnɡú,,wɜːm,,ˈt͡ʃɛrw,,,pʲeːʃtʲ,,,,,ˈusː,,tìɡàʊɴ,ˈborʲ,,,,ɡuˈsano,,,,ˈmɑto,,ˈmɑokːɤin,,,kiɽa,,zun˧˧,,,,,ˈwer.mis,vɔɾtʰ,,,pʁɛ̃,tsʼitsʼi,beˈʃtʲeːɡ,,,ˈuotːø,sku.ˈli.ci,ˈt͡ʃɛrf,mətʼ,,,,ˈkuk,kiː.ɽɑː,duː.da,,ˈtʃɛrvɛj,,tʃʼiä,kirm,,ˈtʃundtʃ,t͡ɕerfʲ,ˈvɛrme,d͡zẽ̞ɲ̟t͡ɕɨᵝː,,,,,ˈbɛɾme̝,,,qʊ̞rt,
